D_carinulata	chromosome	C_maculatus	chromosome
rna-XM_057810681.1	A	g6039.t1	A
rna-XM_057810688.1	A	g652.t1	A
rna-XM_057810758.1	A	g14666.t1	A
rna-XM_057810671.1	A	g5284.t1	A
rna-XM_057810692.1	A	g2098.t1	A
rna-XM_057810687.1	A	g3514.t1	A
rna-XM_057810686.1	A	g13176.t1	A
rna-XM_057810700.1	A	g14685.t1	A
rna-XM_057810702.1	A	g12870.t1	A
rna-XM_057810694.1	A	g14676.t1	A
rna-XM_057810679.1	A	g5271.t2	A
rna-XM_057810701.1	A	g14013.t1	A
rna-XM_057810699.1	A	g14014.t1	A
rna-XM_057810693.1	A	g11924.t1	A
rna-XM_057810697.1	A	g11925.t1	A
rna-XM_057810683.1	A	g14674.t3	A
rna-XM_057810695.1	A	g1877.t1	A
rna-XM_057810665.1	A	g1878.t1	A
rna-XM_057810690.1	A	g5222.t1	A
rna-XM_057810664.1	A	g14672.t1	A
rna-XM_057810703.1	A	g12637.t1	A
rna-XM_057810704.1	A	g11890.t1	A
rna-XM_057810705.1	A	g11891.t1	A
rna-XM_057810713.1	A	g11596.t1	A
rna-XM_057810759.1	A	g12636.t1	A
rna-XM_057810714.1	A	g14146.t1	A
rna-XM_057810715.1	A	g6430.t1	A
rna-XM_057810717.1	A	g14147.t1	A
rna-XM_057810719.1	A	g14149.t1	A
rna-XM_057810729.1	A	g5015.t3	A
rna-XM_057810738.1	A	g5013.t1	A
rna-XM_057810737.1	A	g13533.t1	A
rna-XM_057810730.1	A	g9869.t1	A
rna-XM_057810735.1	A	g14062.t2	A
rna-XM_057810731.1	A	g13036.t1	A
rna-XM_057810739.1	A	g13610.t1	A
rna-XM_057810732.1	A	g6063.t1	A
rna-XM_057810733.1	A	g14552.t1	A
rna-XM_057810075.1	A	g679.t1	A
rna-XM_057810801.1	A	g13069.t1	A
rna-XM_057810453.1	A	g13068.t1	A
rna-XM_057810463.1	A	g676.t1	A
rna-XM_057810454.1	A	g677.t1	A
rna-XM_057810460.1	A	g4980.t1	A
rna-XM_057810457.1	A	g678.t2	A
rna-XM_057810461.1	A	g1187.t1	A
rna-XM_057810459.1	A	g1188.t1	A
rna-XM_057810887.1	A	g669.t1	A
rna-XM_057810179.1	A	g668.t1	A
rna-XM_057810819.1	A	g5245.t1	A
rna-XM_057810824.1	A	g2699.t1	A
rna-XM_057810820.1	A	g14725.t2	A
rna-XM_057810823.1	A	g5240.t1	A
rna-XM_057810850.1	A	g14724.t3	A
rna-XM_057810638.1	A	g5228.t1	A
rna-XM_057810639.1	A	g5227.t1	A
rna-XM_057810023.1	A	g14761.t1	A
rna-XM_057810259.1	A	g14760.t1	A
rna-XM_057810257.1	A	g6480.t1	A
rna-XM_057810429.1	A	g14758.t1	A
rna-XM_057810072.1	A	g11743.t2	A
rna-XM_057810760.1	A	g11827.t1	A
rna-XM_057810133.1	A	g11828.t1	A
rna-XM_057810263.1	A	g2291.t2	A
rna-XM_057810817.1	A	g11013.t1	A
rna-XM_057810818.1	A	g7634.t1	A
rna-XM_057810815.1	A	g6883.t1	A
rna-XM_057810886.1	A	g6882.t1	A
rna-XM_057809974.1	A	g14158.t1	A
rna-XM_057809970.1	A	g26.t1	A
rna-XM_057809967.1	A	g14833.t1	A
rna-XM_057809975.1	A	g14687.t1	A
rna-XM_057809965.1	A	g14686.t2	A
rna-XM_057810464.1	A	g14681.t1	A
rna-XM_057810465.1	A	g14679.t1	A
rna-XM_057810475.1	A	g14678.t3	A
rna-XM_057810503.1	A	g14677.t1	A
rna-XM_057810473.1	A	g14767.t1	A
rna-XM_057810499.1	A	g9245.t1	A
rna-XM_057810501.1	A	g9162.t1	A
rna-XM_057810496.1	A	g9244.t2	A
rna-XM_057810644.1	A	g9241.t1	A
rna-XM_057810825.1	A	g9159.t1	A
rna-XM_057810826.1	A	g11744.t1	A
rna-XM_057810829.1	A	g9158.t1	A
rna-XM_057810127.1	A	g13459.t1	A
rna-XM_057810755.1	A	g13049.t2	A
rna-XM_057810032.1	A	g13052.t2	A
rna-XM_057810067.1	A	g2240.t1	A
rna-XM_057810096.1	A	g11661.t1	A
rna-XM_057810285.1	A	g2238.t1	A
rna-XM_057810284.1	A	g5024.t1	A
rna-XM_057810093.1	A	g14415.t1	A
rna-XM_057810131.1	A	g14536.t1	A
rna-XM_057810762.1	A	g14535.t1	A
rna-XM_057810763.1	A	g14521.t3	A
rna-XM_057810012.1	A	g14523.t1	A
rna-XM_057810015.1	A	g14524.t1	A
rna-XM_057810427.1	A	g14525.t1	A
rna-XM_057810069.1	A	g14526.t1	A
rna-XM_057810083.1	A	g14527.t1	A
rna-XM_057810767.1	A	g14531.t1	A
rna-XM_057810445.1	A	g14534.t1	A
rna-XM_057810745.1	A	g14533.t1	A
rna-XM_057810744.1	A	g14532.t1	A
rna-XM_057810743.1	A	g14517.t1	A
rna-XM_057810748.1	A	g5950.t1	A
rna-XM_057810751.1	A	g5951.t1	A
rna-XM_057810749.1	A	g3312.t2	A
rna-XM_057810753.1	A	g3313.t1	A
rna-XM_057810410.1	A	g949.t1	A
rna-XM_057810408.1	A	g7695.t1	A
rna-XM_057810020.1	A	g948.t1	A
rna-XM_057810428.1	A	g6184.t2	A
rna-XM_057810523.1	A	g6660.t1	A
rna-XM_057810769.1	A	g9446.t1	A
rna-XM_057810524.1	A	g1757.t1	A
rna-XM_057810526.1	A	g9440.t2	A
rna-XM_057810530.1	A	g6271.t2	A
rna-XM_057810771.1	A	g6272.t1	A
rna-XM_057810533.1	A	g6273.t1	A
rna-XM_057810534.1	A	g6274.t1	A
rna-XM_057810537.1	A	g6275.t1	A
rna-XM_057810535.1	A	g6502.t1	A
rna-XM_057810538.1	A	g6280.t1	A
rna-XM_057810541.1	A	g6282.t1	A
rna-XM_057810774.1	A	g6281.t1	A
rna-XM_057810540.1	A	g6292.t1	A
rna-XM_057810775.1	A	g6290.t1	A
rna-XM_057810776.1	A	g6288.t1	A
rna-XM_057810777.1	A	g6270.t1	A
rna-XM_057810546.1	A	g6269.t2	A
rna-XM_057810548.1	A	g6268.t1	A
rna-XM_057810549.1	A	g6267.t1	A
rna-XM_057810551.1	A	g11693.t1	A
rna-XM_057810552.1	A	g12078.t2	A
rna-XM_057810561.1	A	g11690.t1	A
rna-XM_057810562.1	A	g11691.t1	A
rna-XM_057810564.1	A	g909.t1	A
rna-XM_057810568.1	A	g6714.t1	A
rna-XM_057810566.1	A	g6603.t1	A
rna-XM_057810570.1	A	g6713.t1	A
rna-XM_057810572.1	A	g6712.t1	A
rna-XM_057810573.1	A	g6599.t2	A
rna-XM_057810575.1	A	g6737.t2	A
rna-XM_057810582.1	A	g6736.t1	A
rna-XM_057810580.1	A	g6710.t1	A
rna-XM_057810620.1	A	g6597.t3	A
rna-XM_057810139.1	A	g469.t1	A
rna-XM_057810140.1	A	g467.t1	A
rna-XM_057810022.1	A	g14471.t1	A
rna-XM_057810021.1	A	g3405.t1	A
rna-XM_057810450.1	A	g3406.t1	A
rna-XM_057810421.1	A	g3407.t1	A
rna-XM_057810862.1	A	g9641.t1	A
rna-XM_057810859.1	A	g5056.t1	A
rna-XM_057810883.1	A	g6561.t1	A
rna-XM_057810867.1	A	g6807.t1	A
rna-XM_057810885.1	A	g8787.t1	A
rna-XM_057810884.1	A	g6558.t1	A
rna-XM_057810865.1	A	g12438.t1	A
rna-XM_057810142.1	A	g12436.t1	A
rna-XM_057810778.1	A	g12435.t1	A
rna-XM_057810034.1	A	g12434.t1	A
rna-XM_057810192.1	A	g5521.t1	A
rna-XM_057810412.1	A	g12424.t1	A
rna-XM_057810278.1	A	g12554.t1	A
rna-XM_057810834.1	A	g393.t1	A
rna-XM_057810840.1	A	g394.t1	A
rna-XM_057810839.1	A	g173.t1	A
rna-XM_057810844.1	A	g6371.t2	A
rna-XM_057810841.1	A	g6372.t1	A
rna-XM_057810891.1	A	g5885.t1	A
rna-XM_057810078.1	A	g13353.t1	A
rna-XM_057810151.1	A	g12444.t2	A
rna-XM_057810148.1	A	g13347.t1	A
rna-XM_057810149.1	A	g12446.t1	A
rna-XM_057810153.1	A	g13352.t1	A
rna-XM_057810163.1	A	g13351.t1	A
rna-XM_057810162.1	A	g6325.t2	A
rna-XM_057810164.1	A	g6767.t1	A
rna-XM_057810175.1	A	g5718.t1	A
rna-XM_057810177.1	A	g6144.t1	A
rna-XM_057810178.1	A	g6143.t1	A
rna-XM_057810097.1	A	g10426.t1	A
rna-XM_057810894.1	A	g6142.t1	A
rna-XM_057810895.1	A	g3441.t3	A
rna-XM_057810089.1	A	g3316.t2	A
rna-XM_057810101.1	A	g6119.t1	A
rna-XM_057810098.1	A	g1753.t1	A
rna-XM_057810102.1	A	g8411.t1	A
rna-XM_057810105.1	A	g6093.t1	A
rna-XM_057810115.1	A	g6090.t1	A
rna-XM_057810117.1	A	g6091.t1	A
rna-XM_057810112.1	A	g5348.t2	A
rna-XM_057810121.1	A	g9160.t1	A
rna-XM_057810109.1	A	g873.t1	A
rna-XM_057810035.1	A	g1385.t2	A
rna-XM_057810637.1	A	g891.t2	A
rna-XM_057810636.1	A	g1384.t1	A
rna-XM_057810040.1	A	g952.t3	A
rna-XM_057810084.1	A	g4402.t1	A
rna-XM_057810080.1	A	g4878.t1	A
rna-XM_057810444.1	A	g713.t3	A
rna-XM_057810122.1	A	g9930.t1	A
rna-XM_057810780.1	A	g744.t1	A
rna-XM_057810017.1	A	g11008.t3	A
rna-XM_057810438.1	A	g11007.t1	A
rna-XM_057810256.1	A	g11551.t1	A
rna-XM_057810244.1	A	g11503.t1	A
rna-XM_057810250.1	A	g11504.t1	A
rna-XM_057810194.1	A	g11538.t5	A
rna-XM_057810254.1	A	g11545.t1	A
rna-XM_057810754.1	A	g11510.t1	A
rna-XM_057810253.1	A	g11513.t1	A
rna-XM_057810242.1	A	g11535.t1	A
rna-XM_057810439.1	A	g11533.t1	A
rna-XM_057810442.1	A	g11316.t1	A
rna-XM_057810087.1	A	g11317.t1	A
rna-XM_057810267.1	A	g11248.t1	A
rna-XM_057810187.1	A	g11250.t1	A
rna-XM_057810186.1	A	g5278.t1	A
rna-XM_057810185.1	A	g12361.t2	A
rna-XM_057810781.1	A	g11870.t1	A
rna-XM_057810073.1	A	g10093.t1	A
rna-XM_057810125.1	A	g11872.t1	A
rna-XM_057809981.1	A	g11249.t1	A
rna-XM_057809976.1	A	g9670.t1	A
rna-XM_057809987.1	A	g3403.t1	A
rna-XM_057810411.1	A	g8215.t1	A
rna-XM_057810415.1	A	g3715.t1	A
rna-XM_057810504.1	A	g3942.t1	A
rna-XM_057810518.1	A	g3941.t1	A
rna-XM_057810521.1	A	g3940.t1	A
rna-XM_057810519.1	A	g3937.t1	A
rna-XM_057810505.1	A	g3936.t1	A
rna-XM_057810508.1	A	g3935.t1	A
rna-XM_057810141.1	A	g10340.t1	A
rna-XM_057810189.1	A	g8066.t1	A
rna-XM_057810081.1	A	g2117.t1	A
rna-XM_057810628.1	A	g12155.t1	A
rna-XM_057810624.1	A	g9890.t3	A
rna-XM_057810630.1	A	g12150.t1	A
rna-XM_057810846.1	A	g5303.t1	A
rna-XM_057810849.1	A	g12632.t1	A
rna-XM_057810621.1	A	g12633.t1	A
rna-XM_057810622.1	A	g13135.t1	A
rna-XM_057810623.1	A	g2707.t1	A
rna-XM_057810279.1	A	g12765.t1	A
rna-XM_057810417.1	A	g12744.t1	A
rna-XM_057810800.1	A	g13452.t1	A
rna-XM_057810809.1	A	g6059.t1	A
rna-XM_057810813.1	A	g10960.t1	A
rna-XM_057810004.1	A	g2022.t1	A
rna-XM_057814835.1	A	g4071.t1	A
rna-XM_057814839.1	A	g12828.t1	A
rna-XM_057814830.1	A	g10833.t1	A
rna-XM_057814873.1	A	g4962.t1	A
rna-XM_057814871.1	A	g9183.t1	A
rna-XM_057814829.1	A	g11990.t1	A
rna-XM_057814875.1	A	g11360.t1	A
rna-XM_057814863.1	A	g3134.t1	A
rna-XM_057814851.1	A	g11361.t1	A
rna-XM_057814874.1	A	g11362.t1	A
rna-XM_057814887.1	A	g13582.t1	A
rna-XM_057814849.1	A	g12185.t1	A
rna-XM_057814876.1	A	g12184.t1	A
rna-XM_057814866.1	A	g4135.t1	A
rna-XM_057814867.1	A	g10630.t1	A
rna-XM_057814865.1	A	g14383.t1	A
rna-XM_057814827.1	A	g3411.t1	A
rna-XM_057814878.1	A	g665.t1	A
rna-XM_057814844.1	A	g10739.t1	A
rna-XM_057814882.1	A	g3046.t1	A
rna-XM_057814886.1	A	g3047.t1	A
rna-XM_057814881.1	A	g578.t1	A
rna-XM_057814860.1	A	g3413.t1	A
rna-XM_057814838.1	A	g2437.t1	A
rna-XM_057814879.1	A	g2436.t1	A
rna-XM_057814883.1	A	g9116.t1	A
rna-XM_057814837.1	A	g7412.t2	A
rna-XM_057814862.1	A	g8049.t1	A
rna-XM_057814845.1	A	g8048.t1	A
rna-XM_057814848.1	A	g8047.t1	A
rna-XM_057814846.1	A	g8046.t1	A
rna-XM_057814832.1	A	g9421.t1	A
rna-XM_057814850.1	A	g11527.t1	A
rna-XM_057814828.1	A	g7415.t1	A
rna-XM_057814843.1	A	g7783.t1	A
rna-XM_057814891.1	A	g7729.t1	A
rna-XM_057814888.1	A	g7723.t2	A
rna-XM_057814889.1	A	g4397.t1	A
rna-XM_057814892.1	A	g6470.t1	A
rna-XM_057814893.1	A	g6481.t1	A
rna-XM_057814894.1	A	g4124.t1	A
rna-XM_057814895.1	A	g6449.t1	A
rna-XM_057814898.1	A	g6450.t1	A
rna-XM_057814907.1	A	g6451.t1	A
rna-XM_057814908.1	A	g6452.t1	A
rna-XM_057814910.1	A	g6453.t3	A
rna-XM_057814912.1	A	g6454.t1	A
rna-XM_057814913.1	A	g6455.t1	A
rna-XM_057814914.1	A	g6458.t1	A
rna-XM_057814916.1	A	g6460.t1	A
rna-XM_057813838.1	A	g6461.t1	A
rna-XM_057814917.1	A	g6462.t1	A
rna-XM_057814918.1	A	g3159.t1	A
rna-XM_057814923.1	A	g6476.t1	A
rna-XM_057814924.1	A	g11070.t1	A
rna-XM_057814926.1	A	g8045.t1	A
rna-XM_057814927.1	A	g7836.t1	A
rna-XM_057814928.1	A	g5373.t1	A
rna-XM_057814929.1	A	g5374.t1	A
rna-XM_057814932.1	A	g5376.t1	A
rna-XM_057814934.1	A	g8176.t1	A
rna-XM_057814937.1	A	g10226.t1	A
rna-XM_057814942.1	A	g9208.t1	A
rna-XM_057814938.1	A	g510.t2	A
rna-XM_057814943.1	A	g508.t1	A
rna-XM_057814944.1	A	g509.t1	A
rna-XM_057814946.1	A	g505.t1	A
rna-XM_057814945.1	A	g3351.t1	A
rna-XM_057814952.1	A	g5380.t2	A
rna-XM_057814951.1	A	g5381.t1	A
rna-XM_057813839.1	A	g5383.t2	A
rna-XM_057814949.1	A	g12703.t1	A
rna-XM_057814957.1	A	g12649.t1	A
rna-XM_057814958.1	A	g14748.t1	A
rna-XM_057814959.1	A	g10036.t1	A
rna-XM_057814962.1	A	g6858.t1	A
rna-XM_057814960.1	A	g664.t1	A
rna-XM_057814966.1	A	g14125.t1	A
rna-XM_057814968.1	A	g8826.t3	A
rna-XM_057814969.1	A	g9207.t2	A
rna-XM_057814970.1	A	g10095.t1	A
rna-XM_057814971.1	A	g2902.t1	X
rna-XM_057814972.1	A	g9714.t1	A
rna-XM_057814976.1	A	g13904.t1	A
rna-XM_057814977.1	A	g4415.t1	A
rna-XM_057814988.1	A	g8212.t1	A
rna-XM_057814986.1	A	g4408.t1	A
rna-XM_057814989.1	A	g14716.t1	A
rna-XM_057814992.1	A	g14638.t1	A
rna-XM_057814991.1	A	g4963.t1	A
rna-XM_057814993.1	A	g10775.t1	A
rna-XM_057814994.1	A	g4072.t1	A
rna-XM_057814995.1	A	g12194.t1	A
rna-XM_057814996.1	A	g5069.t1	A
rna-XM_057815005.1	A	g14384.t1	A
rna-XM_057814997.1	A	g3040.t1	A
rna-XM_057815006.1	A	g11229.t1	A
rna-XM_057815010.1	A	g11230.t1	A
rna-XM_057815008.1	A	g546.t1	A
rna-XM_057811672.1	A	g14289.t1	A
rna-XM_057814791.1	A	g2290.t1	A
rna-XM_057814792.1	A	g11922.t1	A
rna-XM_057814794.1	A	g11002.t1	A
rna-XM_057812907.1	A	g11000.t1	A
rna-XM_057813407.1	A	g10999.t1	A
rna-XM_057811746.1	A	g11919.t2	A
rna-XM_057812204.1	A	g11238.t1	A
rna-XM_057814613.1	A	g5635.t4	A
rna-XM_057814618.1	A	g5636.t1	A
rna-XM_057813214.1	A	g10038.t1	A
rna-XM_057814547.1	A	g10037.t1	A
rna-XM_057814555.1	A	g9077.t1	A
rna-XM_057814546.1	A	g9079.t1	A
rna-XM_057814548.1	A	g9044.t1	A
rna-XM_057814553.1	A	g10039.t1	A
rna-XM_057812963.1	A	g10030.t1	A
rna-XM_057812964.1	A	g10031.t1	A
rna-XM_057812008.1	A	g10032.t1	A
rna-XM_057812009.1	A	g10033.t1	A
rna-XM_057812007.1	A	g6859.t2	A
rna-XM_057812006.1	A	g10040.t1	A
rna-XM_057812005.1	A	g10250.t1	A
rna-XM_057812010.1	A	g10256.t1	A
rna-XM_057812011.1	A	g8232.t1	A
rna-XM_057812060.1	A	g6866.t1	A
rna-XM_057814660.1	A	g2597.t1	A
rna-XM_057814661.1	A	g10044.t1	A
rna-XM_057814662.1	A	g8243.t1	A
rna-XM_057814654.1	A	g519.t1	A
rna-XM_057814657.1	A	g10917.t1	A
rna-XM_057814663.1	A	g481.t1	A
rna-XM_057811289.1	A	g480.t2	A
rna-XM_057811518.1	A	g477.t1	A
rna-XM_057811525.1	A	g6864.t1	A
rna-XM_057813187.1	A	g6861.t1	A
rna-XM_057813204.1	A	g6862.t1	A
rna-XM_057813208.1	A	g6475.t1	A
rna-XM_057813194.1	A	g13237.t1	A
rna-XM_057813205.1	A	g13236.t1	A
rna-XM_057813196.1	A	g628.t1	A
rna-XM_057813202.1	A	g13920.t1	A
rna-XM_057813200.1	A	g69.t2	A
rna-XM_057814503.1	A	g14813.t1	A
rna-XM_057814501.1	A	g10162.t3	A
rna-XM_057814499.1	A	g10161.t1	A
rna-XM_057814496.1	A	g13905.t1	A
rna-XM_057814494.1	A	g13910.t1	A
rna-XM_057811708.1	A	g8692.t1	A
rna-XM_057811533.1	A	g8628.t1	A
rna-XM_057811664.1	A	g701.t1	A
rna-XM_057811662.1	A	g2365.t1	A
rna-XM_057814068.1	A	g8795.t1	A
rna-XM_057814072.1	A	g8796.t1	A
rna-XM_057814070.1	A	g8794.t1	A
rna-XM_057814073.1	A	g1261.t1	A
rna-XM_057814081.1	A	g8793.t1	A
rna-XM_057814075.1	A	g11239.t1	A
rna-XM_057813393.1	A	g7049.t1	A
rna-XM_057813884.1	A	g7050.t1	A
rna-XM_057813401.1	A	g5547.t1	A
rna-XM_057813402.1	A	g11364.t2	A
rna-XM_057813950.1	A	g8607.t1	A
rna-XM_057812259.1	A	g2662.t1	A
rna-XM_057811539.1	A	g6118.t1	A
rna-XM_057812307.1	A	g4731.t1	A
rna-XM_057812315.1	A	g12619.t3	A
rna-XM_057812314.1	A	g13078.t1	A
rna-XM_057812311.1	A	g11190.t1	A
rna-XM_057812344.1	A	g12239.t1	A
rna-XM_057812345.1	A	g12241.t1	A
rna-XM_057812342.1	A	g11697.t1	A
rna-XM_057812347.1	A	g11698.t1	A
rna-XM_057812349.1	A	g4650.t1	A
rna-XM_057812351.1	A	g11702.t2	A
rna-XM_057812352.1	A	g13292.t1	A
rna-XM_057812356.1	A	g13293.t1	A
rna-XM_057812360.1	A	g13289.t1	A
rna-XM_057812358.1	A	g13286.t1	A
rna-XM_057812362.1	A	g13284.t1	A
rna-XM_057812364.1	A	g13285.t1	A
rna-XM_057812367.1	A	g12623.t1	A
rna-XM_057812366.1	A	g12182.t1	A
rna-XM_057812368.1	A	g12179.t1	A
rna-XM_057812377.1	A	g11720.t2	A
rna-XM_057812378.1	A	g3905.t1	A
rna-XM_057812379.1	A	g11718.t2	A
rna-XM_057812383.1	A	g11353.t1	A
rna-XM_057812385.1	A	g12280.t1	A
rna-XM_057812384.1	A	g12281.t3	A
rna-XM_057812388.1	A	g4070.t1	A
rna-XM_057812387.1	A	g3039.t2	A
rna-XM_057812386.1	A	g13211.t1	A
rna-XM_057812389.1	A	g12620.t1	A
rna-XM_057812393.1	A	g3051.t1	A
rna-XM_057812399.1	A	g3050.t2	A
rna-XM_057812402.1	A	g7585.t1	A
rna-XM_057812403.1	A	g7584.t1	A
rna-XM_057812404.1	A	g7579.t2	A
rna-XM_057812410.1	A	g7578.t1	A
rna-XM_057812413.1	A	g7575.t1	A
rna-XM_057812422.1	A	g6550.t1	A
rna-XM_057812421.1	A	g12345.t2	A
rna-XM_057812424.1	A	g12236.t1	A
rna-XM_057812425.1	A	g12237.t1	A
rna-XM_057812426.1	A	g11883.t1	A
rna-XM_057812427.1	A	g11884.t1	A
rna-XM_057812432.1	A	g11885.t1	A
rna-XM_057812429.1	A	g3807.t1	A
rna-XM_057812436.1	A	g4989.t1	A
rna-XM_057813974.1	A	g13914.t1	A
rna-XM_057813973.1	A	g12219.t1	A
rna-XM_057813954.1	A	g11603.t1	A
rna-XM_057812139.1	A	g11888.t1	A
rna-XM_057812138.1	A	g11602.t2	A
rna-XM_057812137.1	A	g11600.t1	A
rna-XM_057812279.1	A	g11599.t1	A
rna-XM_057812277.1	A	g11938.t1	A
rna-XM_057812035.1	A	g14303.t1	A
rna-XM_057811535.1	A	g13296.t1	A
rna-XM_057814042.1	A	g13573.t1	A
rna-XM_057814032.1	A	g11606.t4	A
rna-XM_057814039.1	A	g11604.t1	A
rna-XM_057812506.1	A	g11613.t1	A
rna-XM_057814814.1	A	g2548.t1	A
rna-XM_057814818.1	A	g6489.t1	A
rna-XM_057811564.1	A	g4065.t1	A
rna-XM_057811573.1	A	g4053.t1	A
rna-XM_057811579.1	A	g4054.t1	A
rna-XM_057811601.1	A	g4055.t1	A
rna-XM_057811602.1	A	g4056.t1	A
rna-XM_057811607.1	A	g6842.t1	A
rna-XM_057812252.1	A	g2356.t1	A
rna-XM_057814018.1	A	g8517.t1	A
rna-XM_057812254.1	A	g8518.t1	A
rna-XM_057812057.1	A	g8450.t1	A
rna-XM_057811763.1	A	g8464.t2	A
rna-XM_057814171.1	A	g11901.t1	A
rna-XM_057814176.1	A	g11902.t1	A
rna-XM_057814177.1	A	g1636.t1	X
rna-XM_057814174.1	A	g11426.t1	A
rna-XM_057812456.1	A	g6784.t1	A
rna-XM_057812451.1	A	g5853.t4	A
rna-XM_057813313.1	A	g10954.t1	A
rna-XM_057812473.1	A	g11180.t1	A
rna-XM_057815016.1	A	g13175.t1	A
rna-XM_057813213.1	A	g7254.t1	X
rna-XM_057815053.1	A	g12304.t1	A
rna-XM_057814025.1	A	g3499.t3	A
rna-XM_057814031.1	A	g3498.t1	A
rna-XM_057814030.1	A	g3497.t1	A
rna-XM_057814020.1	A	g10870.t1	A
rna-XM_057814029.1	A	g14343.t1	A
rna-XM_057812830.1	A	g6726.t1	A
rna-XM_057811290.1	A	g367.t1	A
rna-XM_057812051.1	A	g2874.t1	X
rna-XM_057812951.1	A	g922.t1	A
rna-XM_057812952.1	A	g11787.t1	A
rna-XM_057813323.1	A	g11786.t1	A
rna-XM_057811733.1	A	g11783.t1	A
rna-XM_057811728.1	A	g11785.t1	A
rna-XM_057813244.1	A	g11650.t1	A
rna-XM_057812510.1	A	g10117.t1	A
rna-XM_057812507.1	A	g3395.t1	A
rna-XM_057812628.1	A	g8996.t1	A
rna-XM_057812826.1	A	g4171.t1	A
rna-XM_057812825.1	A	g13449.t2	A
rna-XM_057813521.1	A	g10607.t1	A
rna-XM_057813520.1	A	g596.t1	A
rna-XM_057813522.1	A	g7326.t2	A
rna-XM_057812040.1	A	g6427.t1	A
rna-XM_057812923.1	A	g6426.t1	A
rna-XM_057814185.1	A	g6914.t1	A
rna-XM_057814178.1	A	g6913.t1	A
rna-XM_057814187.1	A	g6911.t1	A
rna-XM_057814186.1	A	g6978.t1	A
rna-XM_057811705.1	A	g6977.t1	A
rna-XM_057810951.1	A	g656.t1	A
rna-XM_057812207.1	A	g657.t1	A
rna-XM_057812808.1	A	g5703.t1	A
rna-XM_057813499.1	A	g5702.t1	A
rna-XM_057811969.1	A	g119.t1	A
rna-XM_057812918.1	A	g6836.t1	A
rna-XM_057812708.1	A	g8325.t1	A
rna-XM_057814067.1	A	g8324.t1	A
rna-XM_057814096.1	A	g7847.t1	A
rna-XM_057814104.1	A	g7837.t1	A
rna-XM_057814097.1	A	g8319.t1	A
rna-XM_057814106.1	A	g5229.t1	A
rna-XM_057814103.1	A	g4173.t1	A
rna-XM_057813019.1	A	g8087.t1	A
rna-XM_057812020.1	A	g9729.t1	A
rna-XM_057812021.1	A	g829.t1	A
rna-XM_057812019.1	A	g830.t1	A
rna-XM_057813336.1	A	g12996.t1	A
rna-XM_057812980.1	A	g14023.t1	A
rna-XM_057812976.1	A	g7718.t1	A
rna-XM_057812681.1	A	g753.t1	A
rna-XM_057812239.1	A	g9824.t1	A
rna-XM_057813064.1	A	g9845.t1	A
rna-XM_057812652.1	A	g8308.t1	A
rna-XM_057812234.1	A	g8315.t2	A
rna-XM_057812236.1	A	g8318.t1	A
rna-XM_057812140.1	A	g7850.t1	A
rna-XM_057812438.1	A	g10431.t2	A
rna-XM_057813287.1	A	g3913.t1	A
rna-XM_057813353.1	A	g831.t2	A
rna-XM_057813606.1	A	g8149.t1	A
rna-XM_057813614.1	A	g8148.t1	A
rna-XM_057813615.1	A	g8150.t2	A
rna-XM_057813617.1	A	g10857.t1	A
rna-XM_057812763.1	A	g8356.t1	A
rna-XM_057812754.1	A	g7321.t1	A
rna-XM_057812768.1	A	g2341.t1	A
rna-XM_057812759.1	A	g11407.t1	A
rna-XM_057812744.1	A	g11897.t4	A
rna-XM_057812764.1	A	g11898.t2	A
rna-XM_057812769.1	A	g11896.t2	A
rna-XM_057812772.1	A	g11892.t1	A
rna-XM_057810937.1	A	g11934.t3	A
rna-XM_057810943.1	A	g13716.t1	A
rna-XM_057810942.1	A	g2293.t1	A
rna-XM_057812241.1	A	g11923.t2	A
rna-XM_057812242.1	A	g13715.t1	A
rna-XM_057812247.1	A	g11598.t1	A
rna-XM_057812243.1	A	g11597.t1	A
rna-XM_057812246.1	A	g11915.t1	A
rna-XM_057814466.1	A	g11909.t1	A
rna-XM_057814464.1	A	g3777.t1	A
rna-XM_057814474.1	A	g11908.t1	A
rna-XM_057812038.1	A	g11907.t1	A
rna-XM_057812813.1	A	g14144.t2	A
rna-XM_057812814.1	A	g12134.t1	A
rna-XM_057812003.1	A	g14040.t1	A
rna-XM_057812004.1	A	g14041.t1	A
rna-XM_057811633.1	A	g11906.t2	A
rna-XM_057812636.1	A	g5094.t1	A
rna-XM_057812638.1	A	g12631.t1	A
rna-XM_057812637.1	A	g1171.t1	A
rna-XM_057812256.1	A	g6781.t1	A
rna-XM_057812047.1	A	g6782.t1	A
rna-XM_057812036.1	A	g671.t1	A
rna-XM_057812202.1	A	g672.t1	A
rna-XM_057812198.1	A	g673.t1	A
rna-XM_057811709.1	A	g7142.t1	A
rna-XM_057811710.1	A	g1186.t1	A
rna-XM_057811221.1	A	g1183.t1	A
rna-XM_057812486.1	A	g13066.t1	A
rna-XM_057813306.1	A	g13067.t1	A
rna-XM_057813024.1	A	g13880.t2	A
rna-XM_057814708.1	A	g13879.t1	A
rna-XM_057814707.1	A	g13371.t1	A
rna-XM_057814709.1	A	g3768.t2	A
rna-XM_057814702.1	A	g674.t1	A
rna-XM_057814714.1	A	g675.t1	A
rna-XM_057814716.1	A	g482.t1	A
