D_carinulata	chromosome	D_sublineata	chromosome
rna-XM_057813196.1	A	rna-XM_056791564.1	A
rna-XM_057813202.1	A	rna-XM_056791567.1	A
rna-XM_057813189.1	A	rna-XM_056791562.1	A
rna-XM_057813188.1	A	rna-XM_056791571.1	A
rna-XM_057813200.1	A	rna-XM_056787238.1	A
rna-XM_057814503.1	A	rna-XM_056790290.1	A
rna-XM_057814501.1	A	rna-XM_056790303.1	A
rna-XM_057814499.1	A	rna-XM_056790246.1	A
rna-XM_057814496.1	A	rna-XM_056790234.1	A
rna-XM_057814504.1	A	rna-XM_056790281.1	A
rna-XM_057813871.1	A	rna-XM_056789264.1	A
rna-XM_057813881.1	A	rna-XM_056790199.1	A
rna-XM_057814494.1	A	rna-XM_056790221.1	A
rna-XM_057814500.1	A	rna-XM_056790257.1	A
rna-XM_057811708.1	A	rna-XM_056780376.1	A
rna-XM_057811533.1	A	rna-XM_056780388.1	A
rna-XM_057811664.1	A	rna-XM_056784180.1	A
rna-XM_057811662.1	A	rna-XM_056784151.1	A
rna-XM_057814068.1	A	rna-XM_056778539.1	A
rna-XM_057814072.1	A	rna-XM_056778554.1	A
rna-XM_057814070.1	A	rna-XM_056778566.1	A
rna-XM_057813883.1	A	rna-XM_056789280.1	A
rna-XM_057814073.1	A	rna-XM_056787130.1	A
rna-XM_057814081.1	A	rna-XM_056787452.1	A
rna-XM_057814075.1	A	rna-XM_056787252.1	A
rna-XM_057814079.1	A	rna-XM_056791382.1	A
rna-XM_057813399.1	A	rna-XM_056791414.1	A
rna-XM_057813393.1	A	rna-XM_056791389.1	A
rna-XM_057813884.1	A	rna-XM_056789293.1	A
rna-XM_057813401.1	A	rna-XM_056784244.1	A
rna-XM_057813402.1	A	rna-XM_056776949.1	A
rna-XM_057813950.1	A	rna-XM_056789304.1	A
rna-XM_057812259.1	A	rna-XM_056789325.1	A
rna-XM_057812170.1	A	rna-XM_056779008.1	A
rna-XM_057812997.1	A	rna-XM_056779019.1	A
rna-XM_057811543.1	A	rna-XM_056789462.1	A
rna-XM_057811539.1	A	rna-XM_056776329.1	A
rna-XM_057811544.1	A	rna-XM_056776343.1	A
rna-XM_057812307.1	A	rna-XM_056793039.1	A
rna-XM_057812315.1	A	rna-XM_056793173.1	A
rna-XM_057812314.1	A	rna-XM_056773552.1	A
rna-XM_057812311.1	A	rna-XM_056793065.1	A
rna-XM_057812344.1	A	rna-XM_056773567.1	A
rna-XM_057812345.1	A	rna-XM_056773597.1	A
rna-XM_057812342.1	A	rna-XM_056777237.1	A
rna-XM_057812347.1	A	rna-XM_056789496.1	A
rna-XM_057812349.1	A	rna-XM_056789509.1	A
rna-XM_057812351.1	A	rna-XM_056784261.1	A
rna-XM_057812352.1	A	rna-XM_056780981.1	A
rna-XM_057812356.1	A	rna-XM_056781008.1	A
rna-XM_057812359.1	A	rna-XM_056785549.1	A
rna-XM_057812358.1	A	rna-XM_056785541.1	A
rna-XM_057812361.1	A	rna-XM_056784102.1	A
rna-XM_057812362.1	A	rna-XM_056784224.1	A
rna-XM_057812364.1	A	rna-XM_056784346.1	A
rna-XM_057812367.1	A	rna-XM_056779355.1	A
rna-XM_057812366.1	A	rna-XM_056779345.1	A
rna-XM_057812368.1	A	rna-XM_056791846.1	A
rna-XM_057812377.1	A	rna-XM_056780343.1	A
rna-XM_057812378.1	A	rna-XM_056791559.1	A
rna-XM_057812379.1	A	rna-XM_056778947.1	A
rna-XM_057812383.1	A	rna-XM_056788269.1	A
rna-XM_057812385.1	A	rna-XM_056774553.1	A
rna-XM_057812384.1	A	rna-XM_056774528.1	A
rna-XM_057812388.1	A	rna-XM_056774540.1	A
rna-XM_057812387.1	A	rna-XM_056774565.1	A
rna-XM_057812386.1	A	rna-XM_056774580.1	A
rna-XM_057812389.1	A	rna-XM_056782276.1	A
rna-XM_057812397.1	A	rna-XM_056787400.1	A
rna-XM_057812393.1	A	rna-XM_056781728.1	A
rna-XM_057812399.1	A	rna-XM_056777283.1	A
rna-XM_057812402.1	A	rna-XM_056777308.1	A
rna-XM_057812403.1	A	rna-XM_056777294.1	A
rna-XM_057812404.1	A	rna-XM_056777205.1	A
rna-XM_057812408.1	A	rna-XM_056789961.1	A
rna-XM_057813951.1	A	rna-XM_056789974.1	A
rna-XM_057812410.1	A	rna-XM_056778260.1	A
rna-XM_057812413.1	A	rna-XM_056780139.1	A
rna-XM_057812422.1	A	rna-XM_056782991.1	A
rna-XM_057812421.1	A	rna-XM_056782980.1	A
rna-XM_057813952.1	A	rna-XM_056790115.1	A
rna-XM_057812424.1	A	rna-XM_056784790.1	A
rna-XM_057812425.1	A	rna-XM_056787518.1	A
rna-XM_057812426.1	A	rna-XM_056787531.1	A
rna-XM_057812428.1	A	rna-XM_056787543.1	A
rna-XM_057812427.1	A	rna-XM_056787510.1	A
rna-XM_057812432.1	A	rna-XM_056787498.1	A
rna-XM_057812429.1	A	rna-XM_056787476.1	A
rna-XM_057812433.1	A	rna-XM_056778972.1	A
rna-XM_057812436.1	A	rna-XM_056778984.1	A
rna-XM_057812434.1	A	rna-XM_056778997.1	A
rna-XM_057813970.1	A	rna-XM_056777094.1	A
rna-XM_057813974.1	A	rna-XM_056790126.1	A
rna-XM_057813973.1	A	rna-XM_056790869.1	A
rna-XM_057813954.1	A	rna-XM_056790810.1	A
rna-XM_057812139.1	A	rna-XM_056774258.1	A
rna-XM_057812138.1	A	rna-XM_056774255.1	A
rna-XM_057812137.1	A	rna-XM_056774250.1	A
rna-XM_057812279.1	A	rna-XM_056780416.1	A
rna-XM_057812280.1	A	rna-XM_056780448.1	A
rna-XM_057812277.1	A	rna-XM_056780403.1	A
rna-XM_057812035.1	A	rna-XM_056779395.1	A
rna-XM_057811535.1	A	rna-XM_056792618.1	A
rna-XM_057814042.1	A	rna-XM_056781292.1	A
rna-XM_057814032.1	A	rna-XM_056781212.1	A
rna-XM_057814039.1	A	rna-XM_056780579.1	A
rna-XM_057812506.1	A	rna-XM_056780693.1	A
rna-XM_057814816.1	A	rna-XM_056790328.1	A
rna-XM_057814814.1	A	rna-XM_056790355.1	A
rna-XM_057814818.1	A	rna-XM_056790377.1	A
rna-XM_057811564.1	A	rna-XM_056790388.1	A
rna-XM_057811573.1	A	rna-XM_056782299.1	A
rna-XM_057811579.1	A	rna-XM_056782363.1	A
rna-XM_057811602.1	A	rna-XM_056791743.1	A
rna-XM_057814013.1	A	rna-XM_056790315.1	A
rna-XM_057811607.1	A	rna-XM_056791747.1	A
rna-XM_057812252.1	A	rna-XM_056791877.1	A
rna-XM_057814018.1	A	rna-XM_056791880.1	A
rna-XM_057812254.1	A	rna-XM_056791879.1	A
rna-XM_057812057.1	A	rna-XM_056782610.1	A
rna-XM_057811763.1	A	rna-XM_056782623.1	A
rna-XM_057812063.1	A	rna-XM_056774390.1	A
rna-XM_057812846.1	A	rna-XM_056776780.1	A
rna-XM_057814171.1	A	rna-XM_056776712.1	A
rna-XM_057814176.1	A	rna-XM_056776882.1	A
rna-XM_057814177.1	A	rna-XM_056776893.1	A
rna-XM_057814174.1	A	rna-XM_056776768.1	A
rna-XM_057814175.1	A	rna-XM_056776868.1	A
rna-XM_057812774.1	A	rna-XM_056776793.1	A
rna-XM_057814019.1	A	rna-XM_056776854.1	A
rna-XM_057812456.1	A	rna-XM_056776841.1	A
rna-XM_057812451.1	A	rna-XM_056776735.1	A
rna-XM_057813313.1	A	rna-XM_056778028.1	A
rna-XM_057812473.1	A	rna-XM_056791722.1	A
rna-XM_057815012.1	A	rna-XM_056791723.1	A
rna-XM_057815018.1	A	rna-XM_056791725.1	A
rna-XM_057815016.1	A	rna-XM_056791724.1	A
rna-XM_057813213.1	A	rna-XM_056791728.1	A
rna-XM_057814772.1	A	rna-XM_056791729.1	A
rna-XM_057813380.1	A	rna-XM_056791730.1	A
rna-XM_057815053.1	A	rna-XM_056791732.1	A
rna-XM_057815056.1	A	rna-XM_056791733.1	A
rna-XM_057815058.1	A	rna-XM_056791736.1	A
rna-XM_057815059.1	A	rna-XM_056791737.1	A
rna-XM_057812024.1	A	rna-XM_056790423.1	A
rna-XM_057814025.1	A	rna-XM_056791739.1	A
rna-XM_057814031.1	A	rna-XM_056791742.1	A
rna-XM_057814030.1	A	rna-XM_056777550.1	A
rna-XM_057814020.1	A	rna-XM_056790615.1	A
rna-XM_057814029.1	A	rna-XM_056780631.1	A
rna-XM_057812830.1	A	rna-XM_056787383.1	A
rna-XM_057811290.1	A	rna-XM_056791306.1	A
rna-XM_057813264.1	A	rna-XM_056791317.1	A
rna-XM_057812051.1	A	rna-XM_056777465.1	A
rna-XM_057813238.1	A	rna-XM_056773739.1	A
rna-XM_057812951.1	A	rna-XM_056773760.1	A
rna-XM_057812952.1	A	rna-XM_056773773.1	A
rna-XM_057813323.1	A	rna-XM_056793005.1	A
rna-XM_057811733.1	A	rna-XM_056793017.1	A
rna-XM_057811728.1	A	rna-XM_056792992.1	A
rna-XM_057811729.1	A	rna-XM_056779280.1	A
rna-XM_057813244.1	A	rna-XM_056780784.1	A
rna-XM_057812508.1	A	rna-XM_056780812.1	A
rna-XM_057812510.1	A	rna-XM_056780827.1	A
rna-XM_057812507.1	A	rna-XM_056780775.1	A
rna-XM_057812627.1	A	rna-XM_056780835.1	A
rna-XM_057812628.1	A	rna-XM_056784617.1	A
rna-XM_057812625.1	A	rna-XM_056776225.1	A
rna-XM_057812826.1	A	rna-XM_056783721.1	A
rna-XM_057812825.1	A	rna-XM_056783705.1	A
rna-XM_057813521.1	A	rna-XM_056780717.1	A
rna-XM_057813520.1	A	rna-XM_056780703.1	A
rna-XM_057813522.1	A	rna-XM_056782614.1	A
rna-XM_057812040.1	A	rna-XM_056782096.1	A
rna-XM_057812923.1	A	rna-XM_056784969.1	A
rna-XM_057812924.1	A	rna-XM_056790565.1	A
rna-XM_057814185.1	A	rna-XM_056791351.1	A
rna-XM_057814178.1	A	rna-XM_056791327.1	A
rna-XM_057814187.1	A	rna-XM_056791364.1	A
rna-XM_057814186.1	A	rna-XM_056791359.1	A
rna-XM_057811705.1	A	rna-XM_056785464.1	A
rna-XM_057810951.1	A	rna-XM_056774202.1	A
rna-XM_057812207.1	A	rna-XM_056784202.1	A
rna-XM_057812808.1	A	rna-XM_056780869.1	A
rna-XM_057813499.1	A	rna-XM_056776368.1	A
rna-XM_057811969.1	A	rna-XM_056791731.1	A
rna-XM_057814065.1	A	rna-XM_056790591.1	A
rna-XM_057812918.1	A	rna-XM_056774351.1	A
rna-XM_057814066.1	A	rna-XM_056790652.1	A
rna-XM_057812708.1	A	rna-XM_056791378.1	A
rna-XM_057814067.1	A	rna-XM_056780476.1	A
rna-XM_057814096.1	A	rna-XM_056777151.1	A
rna-XM_057814104.1	A	rna-XM_056777161.1	A
rna-XM_057814105.1	A	rna-XM_056777173.1	A
rna-XM_057814097.1	A	rna-XM_056775443.1	A
rna-XM_057814106.1	A	rna-XM_056775489.1	A
rna-XM_057814103.1	A	rna-XM_056775478.1	A
rna-XM_057813019.1	A	rna-XM_056785167.1	A
rna-XM_057813014.1	A	rna-XM_056785126.1	A
rna-XM_057812020.1	A	rna-XM_056784776.1	A
rna-XM_057812021.1	A	rna-XM_056791430.1	A
rna-XM_057812019.1	A	rna-XM_056791424.1	A
rna-XM_057813336.1	A	rna-XM_056791436.1	A
rna-XM_057812975.1	A	rna-XM_056791448.1	A
rna-XM_057812980.1	A	rna-XM_056791471.1	A
rna-XM_057814082.1	A	rna-XM_056790761.1	A
rna-XM_057812977.1	A	rna-XM_056791464.1	A
rna-XM_057812976.1	A	rna-XM_056791454.1	A
rna-XM_057812682.1	A	rna-XM_056779956.1	A
rna-XM_057812681.1	A	rna-XM_056779944.1	A
rna-XM_057812239.1	A	rna-XM_056778312.1	A
rna-XM_057813064.1	A	rna-XM_056784918.1	A
rna-XM_057814083.1	A	rna-XM_056791381.1	A
rna-XM_057812652.1	A	rna-XM_056782840.1	A
rna-XM_057812234.1	A	rna-XM_056784633.1	A
rna-XM_057812236.1	A	rna-XM_056784746.1	A
rna-XM_057812235.1	A	rna-XM_056785011.1	A
rna-XM_057812140.1	A	rna-XM_056792970.1	A
rna-XM_057812438.1	A	rna-XM_056792982.1	A
rna-XM_057813287.1	A	rna-XM_056785940.1	A
rna-XM_057813351.1	A	rna-XM_056774653.1	A
rna-XM_057813353.1	A	rna-XM_056792896.1	A
rna-XM_057813352.1	A	rna-XM_056792882.1	A
rna-XM_057812915.1	A	rna-XM_056780971.1	A
rna-XM_057812481.1	A	rna-XM_056779724.1	A
rna-XM_057813606.1	A	rna-XM_056791706.1	A
rna-XM_057813614.1	A	rna-XM_056791708.1	A
rna-XM_057813615.1	A	rna-XM_056791705.1	A
rna-XM_057813617.1	A	rna-XM_056785658.1	A
rna-XM_057812753.1	A	rna-XM_056777583.1	A
rna-XM_057812766.1	A	rna-XM_056777658.1	A
rna-XM_057812767.1	A	rna-XM_056776462.1	A
rna-XM_057812763.1	A	rna-XM_056777636.1	A
rna-XM_057812754.1	A	rna-XM_056777595.1	A
rna-XM_057812768.1	A	rna-XM_056777669.1	A
rna-XM_057812759.1	A	rna-XM_056777719.1	A
rna-XM_057812744.1	A	rna-XM_056777683.1	A
rna-XM_057812764.1	A	rna-XM_056777737.1	A
rna-XM_057812769.1	A	rna-XM_056792073.1	A
rna-XM_057812772.1	A	rna-XM_056792101.1	A
rna-XM_057810937.1	A	rna-XM_056791768.1	A
rna-XM_057810943.1	A	rna-XM_056791776.1	A
rna-XM_057810942.1	A	rna-XM_056791772.1	A
rna-XM_057812241.1	A	rna-XM_056791774.1	A
rna-XM_057812242.1	A	rna-XM_056791771.1	A
rna-XM_057812247.1	A	rna-XM_056791777.1	A
rna-XM_057812243.1	A	rna-XM_056790772.1	A
rna-XM_057812246.1	A	rna-XM_056791775.1	A
rna-XM_057814472.1	A	rna-XM_056791637.1	A
rna-XM_057814466.1	A	rna-XM_056791633.1	A
rna-XM_057814464.1	A	rna-XM_056791632.1	A
rna-XM_057814474.1	A	rna-XM_056775028.1	A
rna-XM_057812038.1	A	rna-XM_056785610.1	A
rna-XM_057812813.1	A	rna-XM_056773784.1	A
rna-XM_057812814.1	A	rna-XM_056777559.1	A
rna-XM_057812003.1	A	rna-XM_056777319.1	A
rna-XM_057812004.1	A	rna-XM_056777330.1	A
rna-XM_057811633.1	A	rna-XM_056775630.1	A
rna-XM_057812636.1	A	rna-XM_056781748.1	A
rna-XM_057812638.1	A	rna-XM_056781769.1	A
rna-XM_057812637.1	A	rna-XM_056781759.1	A
rna-XM_057812256.1	A	rna-XM_056774363.1	A
rna-XM_057812047.1	A	rna-XM_056774377.1	A
rna-XM_057812036.1	A	rna-XM_056790785.1	A
rna-XM_057812202.1	A	rna-XM_056778669.1	A
rna-XM_057812198.1	A	rna-XM_056778639.1	A
rna-XM_057811709.1	A	rna-XM_056779300.1	A
rna-XM_057811710.1	A	rna-XM_056778935.1	A
rna-XM_057811221.1	A	rna-XM_056789474.1	A
rna-XM_057812486.1	A	rna-XM_056776490.1	A
rna-XM_057813306.1	A	rna-XM_056776477.1	A
rna-XM_057813024.1	A	rna-XM_056788855.1	A
rna-XM_057814708.1	A	rna-XM_056788994.1	A
rna-XM_057814707.1	A	rna-XM_056790798.1	A
rna-XM_057814709.1	A	rna-XM_056789005.1	A
rna-XM_057814702.1	A	rna-XM_056788907.1	A
rna-XM_057814714.1	A	rna-XM_056788941.1	A
rna-XM_057814716.1	A	rna-XM_056788981.1	A
rna-XM_057814715.1	A	rna-XM_056788954.1	A
rna-XM_057814710.1	A	rna-XM_056788877.1	A
rna-XM_057814719.1	A	rna-XM_056789023.1	A
rna-XM_057814723.1	A	rna-XM_056784426.1	A
rna-XM_057814725.1	A	rna-XM_056784191.1	A
rna-XM_057814727.1	A	rna-XM_056791999.1	A
rna-XM_057814721.1	A	rna-XM_056791975.1	A
rna-XM_057814728.1	A	rna-XM_056791987.1	A
rna-XM_057814741.1	A	rna-XM_056792019.1	A
rna-XM_057814743.1	A	rna-XM_056786861.1	A
rna-XM_057814729.1	A	rna-XM_056786811.1	A
rna-XM_057814744.1	A	rna-XM_056786864.1	A
rna-XM_057813675.1	A	rna-XM_056791611.1	A
rna-XM_057813679.1	A	rna-XM_056791613.1	A
rna-XM_057813676.1	A	rna-XM_056791612.1	A
rna-XM_057813683.1	A	rna-XM_056791616.1	A
rna-XM_057813685.1	A	rna-XM_056788212.1	A
rna-XM_057813674.1	A	rna-XM_056791609.1	A
rna-XM_057813686.1	A	rna-XM_056779548.1	A
rna-XM_057812631.1	A	rna-XM_056779515.1	A
rna-XM_057812633.1	A	rna-XM_056779536.1	A
rna-XM_057812632.1	A	rna-XM_056779528.1	A
rna-XM_057813430.1	A	rna-XM_056780489.1	A
rna-XM_057812564.1	A	rna-XM_056790890.1	A
rna-XM_057813237.1	A	rna-XM_056790899.1	A
rna-XM_057813233.1	A	rna-XM_056785941.1	A
rna-XM_057811547.1	A	rna-XM_056791811.1	A
rna-XM_057811546.1	A	rna-XM_056791813.1	A
rna-XM_057811719.1	A	rna-XM_056791814.1	A
rna-XM_057812046.1	A	rna-XM_056777990.1	A
rna-XM_057811665.1	A	rna-XM_056784906.1	A
rna-XM_057812250.1	A	rna-XM_056776344.1	A
rna-XM_057814091.1	A	rna-XM_056790987.1	A
rna-XM_057812443.1	A	rna-XM_056790999.1	A
rna-XM_057812001.1	A	rna-XM_056791749.1	A
rna-XM_057812824.1	A	rna-XM_056783902.1	A
rna-XM_057813705.1	A	rna-XM_056789395.1	A
rna-XM_057813697.1	A	rna-XM_056789370.1	A
rna-XM_057813695.1	A	rna-XM_056789351.1	A
rna-XM_057813704.1	A	rna-XM_056789384.1	A
rna-XM_057813709.1	A	rna-XM_056789449.1	A
rna-XM_057813699.1	A	rna-XM_056789414.1	A
rna-XM_057813710.1	A	rna-XM_056779449.1	A
rna-XM_057812709.1	A	rna-XM_056784551.1	A
rna-XM_057812106.1	A	rna-XM_056792842.1	A
rna-XM_057812100.1	A	rna-XM_056792806.1	A
rna-XM_057811345.1	A	rna-XM_056791013.1	A
rna-XM_057811347.1	A	rna-XM_056792853.1	A
rna-XM_057815073.1	A	rna-XM_056790089.1	A
rna-XM_057815072.1	A	rna-XM_056790075.1	A
rna-XM_057815074.1	A	rna-XM_056790102.1	A
rna-XM_057815077.1	A	rna-XM_056791873.1	A
rna-XM_057815114.1	A	rna-XM_056791875.1	A
rna-XM_057815112.1	A	rna-XM_056791874.1	A
rna-XM_057815131.1	A	rna-XM_056775694.1	A
rna-XM_057815125.1	A	rna-XM_056775663.1	A
rna-XM_057815130.1	A	rna-XM_056775681.1	A
rna-XM_057815089.1	A	rna-XM_056775712.1	A
rna-XM_057815122.1	A	rna-XM_056775942.1	A
rna-XM_057815117.1	A	rna-XM_056775914.1	A
rna-XM_057815124.1	A	rna-XM_056775954.1	A
rna-XM_057815127.1	A	rna-XM_056774190.1	A
rna-XM_057815078.1	A	rna-XM_056774105.1	A
rna-XM_057815128.1	A	rna-XM_056780670.1	A
rna-XM_057815123.1	A	rna-XM_056781677.1	A
rna-XM_057812477.1	A	rna-XM_056783774.1	A
rna-XM_057814146.1	A	rna-XM_056779787.1	A
rna-XM_057814148.1	A	rna-XM_056783840.1	A
rna-XM_057814150.1	A	rna-XM_056791037.1	A
rna-XM_057814151.1	A	rna-XM_056778275.1	A
rna-XM_057812056.1	A	rna-XM_056778463.1	A
rna-XM_057812012.1	A	rna-XM_056774316.1	A
rna-XM_057813069.1	A	rna-XM_056792451.1	A
rna-XM_057813068.1	A	rna-XM_056792429.1	A
rna-XM_057813072.1	A	rna-XM_056792463.1	A
rna-XM_057813073.1	A	rna-XM_056785564.1	A
rna-XM_057813074.1	A	rna-XM_056785573.1	A
rna-XM_057814145.1	A	rna-XM_056791047.1	A
rna-XM_057813076.1	A	rna-XM_056790436.1	A
rna-XM_057813093.1	A	rna-XM_056787057.1	A
rna-XM_057813090.1	A	rna-XM_056787044.1	A
rna-XM_057813078.1	A	rna-XM_056788232.1	A
rna-XM_057813089.1	A	rna-XM_056787032.1	A
rna-XM_057813083.1	A	rna-XM_056786994.1	A
rna-XM_057813084.1	A	rna-XM_056787007.1	A
rna-XM_057813080.1	A	rna-XM_056786969.1	A
rna-XM_057813082.1	A	rna-XM_056786982.1	A
rna-XM_057813088.1	A	rna-XM_056786927.1	A
rna-XM_057813086.1	A	rna-XM_056787019.1	A
rna-XM_057813077.1	A	rna-XM_056786958.1	A
rna-XM_057813098.1	A	rna-XM_056787105.1	A
rna-XM_057813097.1	A	rna-XM_056787091.1	A
rna-XM_057813095.1	A	rna-XM_056787071.1	A
rna-XM_057813099.1	A	rna-XM_056787117.1	A
rna-XM_057813102.1	A	rna-XM_056787150.1	A
rna-XM_057813101.1	A	rna-XM_056787138.1	A
rna-XM_057813103.1	A	rna-XM_056787163.1	A
rna-XM_057813106.1	A	rna-XM_056787175.1	A
rna-XM_057814152.1	A	rna-XM_056791112.1	A
rna-XM_057813107.1	A	rna-XM_056787189.1	A
rna-XM_057813109.1	A	rna-XM_056787207.1	A
rna-XM_057813112.1	A	rna-XM_056787227.1	A
rna-XM_057813115.1	A	rna-XM_056777376.1	A
rna-XM_057813121.1	A	rna-XM_056791919.1	A
rna-XM_057813122.1	A	rna-XM_056791920.1	A
rna-XM_057813117.1	A	rna-XM_056791917.1	A
rna-XM_057813123.1	A	rna-XM_056783100.1	A
rna-XM_057813124.1	A	rna-XM_056783111.1	A
rna-XM_057813125.1	A	rna-XM_056792643.1	A
rna-XM_057813130.1	A	rna-XM_056779112.1	A
rna-XM_057813135.1	A	rna-XM_056779143.1	A
rna-XM_057813137.1	A	rna-XM_056779154.1	A
rna-XM_057813139.1	A	rna-XM_056780728.1	A
rna-XM_057813141.1	A	rna-XM_056777778.1	A
rna-XM_057813142.1	A	rna-XM_056773903.1	A
rna-XM_057814155.1	A	rna-XM_056773978.1	A
rna-XM_057814169.1	A	rna-XM_056773887.1	A
rna-XM_057813151.1	A	rna-XM_056785093.1	A
rna-XM_057813153.1	A	rna-XM_056776597.1	A
rna-XM_057812286.1	A	rna-XM_056776978.1	A
rna-XM_057814170.1	A	rna-XM_056791293.1	A
rna-XM_057812287.1	A	rna-XM_056792703.1	A
rna-XM_057811363.1	A	rna-XM_056792941.1	A
rna-XM_057811368.1	A	rna-XM_056791298.1	A
rna-XM_057812053.1	A	rna-XM_056775094.1	A
rna-XM_057813440.1	A	rna-XM_056780844.1	A
rna-XM_057813441.1	A	rna-XM_056775320.1	A
rna-XM_057812850.1	A	rna-XM_056783805.1	A
rna-XM_057812849.1	A	rna-XM_056783791.1	A
rna-XM_057810897.1	A	rna-XM_056791323.1	A
rna-XM_057810899.1	A	rna-XM_056777573.1	A
rna-XM_057812815.1	A	rna-XM_056781630.1	A
rna-XM_057812912.1	A	rna-XM_056792630.1	A
rna-XM_057812281.1	A	rna-XM_056791371.1	A
rna-XM_057810936.1	A	rna-XM_056791572.1	A
rna-XM_057810934.1	A	rna-XM_056791584.1	A
rna-XM_057812982.1	A	rna-XM_056785622.1	A
rna-XM_057811288.1	A	rna-XM_056774288.1	A
rna-XM_057812994.1	A	rna-XM_056774301.1	A
rna-XM_057811351.1	A	rna-XM_056780060.1	A
rna-XM_057811348.1	A	rna-XM_056780052.1	A
rna-XM_057811355.1	A	rna-XM_056791859.1	A
rna-XM_057811354.1	A	rna-XM_056791858.1	A
rna-XM_057812214.1	A	rna-XM_056791857.1	A
rna-XM_057812213.1	A	rna-XM_056791856.1	A
rna-XM_057813375.1	A	rna-XM_056791843.1	A
rna-XM_057813365.1	A	rna-XM_056791834.1	A
rna-XM_057813377.1	A	rna-XM_056791844.1	A
rna-XM_057813363.1	A	rna-XM_056791832.1	A
rna-XM_057813378.1	A	rna-XM_056791845.1	A
rna-XM_057813379.1	A	rna-XM_056785894.1	A
rna-XM_057813376.1	A	rna-XM_056785883.1	A
rna-XM_057813374.1	A	rna-XM_056775041.1	A
rna-XM_057810945.1	A	rna-XM_056792476.1	A
rna-XM_057811764.1	A	rna-XM_056774722.1	A
rna-XM_057813885.1	A	rna-XM_056791701.1	A
rna-XM_057813891.1	A	rna-XM_056782649.1	A
rna-XM_057813892.1	A	rna-XM_056776699.1	A
rna-XM_057813893.1	A	rna-XM_056785362.1	A
rna-XM_057813895.1	A	rna-XM_056777272.1	A
rna-XM_057813896.1	A	rna-XM_056782263.1	A
rna-XM_057813902.1	A	rna-XM_056780293.1	A
rna-XM_057813903.1	A	rna-XM_056780307.1	A
rna-XM_057813898.1	A	rna-XM_056780280.1	A
rna-XM_057813907.1	A	rna-XM_056778346.1	A
rna-XM_057813908.1	A	rna-XM_056778359.1	A
rna-XM_057813905.1	A	rna-XM_056778334.1	A
rna-XM_057813911.1	A	rna-XM_056778383.1	A
rna-XM_057813920.1	A	rna-XM_056778422.1	A
rna-XM_057813923.1	A	rna-XM_056778427.1	A
rna-XM_057813922.1	A	rna-XM_056778439.1	A
rna-XM_057813924.1	A	rna-XM_056778453.1	A
rna-XM_057813926.1	A	rna-XM_056791853.1	A
rna-XM_057813928.1	A	rna-XM_056791855.1	A
rna-XM_057813930.1	A	rna-XM_056780527.1	A
rna-XM_057813933.1	A	rna-XM_056780551.1	A
rna-XM_057813932.1	A	rna-XM_056780539.1	A
rna-XM_057813931.1	A	rna-XM_056778220.1	A
rna-XM_057813936.1	A	rna-XM_056778233.1	A
rna-XM_057813937.1	A	rna-XM_056773868.1	A
rna-XM_057813938.1	A	rna-XM_056773878.1	A
rna-XM_057813943.1	A	rna-XM_056773851.1	A
rna-XM_057814188.1	A	rna-XM_056789079.1	X
rna-XM_057813945.1	A	rna-XM_056791781.1	A
rna-XM_057813948.1	A	rna-XM_056783940.1	A
rna-XM_057812688.1	A	rna-XM_056783952.1	A
rna-XM_057812707.1	A	rna-XM_056791751.1	A
rna-XM_057811531.1	A	rna-XM_056790974.1	A
rna-XM_057814275.1	A	rna-XM_056791785.1	A
rna-XM_057812848.1	A	rna-XM_056782791.1	A
rna-XM_057812936.1	A	rna-XM_056785310.1	A
rna-XM_057812939.1	A	rna-XM_056785432.1	A
rna-XM_057812940.1	A	rna-XM_056777942.1	A
rna-XM_057812941.1	A	rna-XM_056777953.1	A
rna-XM_057812943.1	A	rna-XM_056775334.1	A
rna-XM_057812276.1	A	rna-XM_056780088.1	A
rna-XM_057811636.1	A	rna-XM_056784009.1	A
rna-XM_057814785.1	A	rna-XM_056784020.1	A
rna-XM_057814786.1	A	rna-XM_056784033.1	A
rna-XM_057814787.1	A	rna-XM_056784046.1	A
rna-XM_057814536.1	A	rna-XM_056784059.1	A
rna-XM_057814538.1	A	rna-XM_056784090.1	A
rna-XM_057814540.1	A	rna-XM_056784103.1	A
rna-XM_057813305.1	A	rna-XM_056784984.1	A
rna-XM_057814288.1	A	rna-XM_056791558.1	A
rna-XM_057812958.1	A	rna-XM_056777527.1	A
rna-XM_057812956.1	A	rna-XM_056777515.1	A
rna-XM_057812953.1	A	rna-XM_056777494.1	A
rna-XM_057813586.1	A	rna-XM_056777044.1	A
rna-XM_057813596.1	A	rna-XM_056777085.1	A
rna-XM_057813595.1	A	rna-XM_056777073.1	A
rna-XM_057813592.1	A	rna-XM_056777013.1	A
rna-XM_057813602.1	A	rna-XM_056792629.1	A
rna-XM_057813585.1	A	rna-XM_056780764.1	A
rna-XM_057813574.1	A	rna-XM_056783001.1	A
rna-XM_057813584.1	A	rna-XM_056791752.1	A
rna-XM_057813598.1	A	rna-XM_056791754.1	A
rna-XM_057813583.1	A	rna-XM_056777900.1	A
rna-XM_057813573.1	A	rna-XM_056791560.1	A
rna-XM_057812134.1	A	rna-XM_056774603.1	A
rna-XM_057812133.1	A	rna-XM_056774592.1	A
