C_chinensis	chromosome	A_obtectus	chromosome
anno1.g6.t1	A	anno1.g14080.t1	A
anno1.both_agree_g15.t2	X	anno1.g2038.t1	X
anno1.g2.t1	X	anno1.g2039.t1	X
anno1.g7254.t1	A	anno1.g4280.t1	A
anno1.g7257.t1	A	anno1.g4281.t1	A
anno1.g7258.t2	A	anno1.g4288.t1	A
anno1.g7259.t1	A	anno1.g4287.t1	A
anno1.g7260.t1	A	anno1.g4286.t1	A
anno1.g7261.t1	A	anno1.g4285.t1	A
anno1.g7262.t2	A	anno1.g4284.t1	A
anno1.g7263.t2	A	anno1.g4092.t1	A
anno1.g7264.t1	A	anno1.g4090.t2	A
anno1.g7265.t1	A	anno1.g4089.t1	A
anno1.g7266.t1	A	anno1.g4088.t1	A
anno1.g7267.t1	A	anno1.g4082.t1	A
anno1.g7268.t1	A	anno1.g4083.t1	A
anno1.g7269.t1	A	anno1.g4084.t1	A
anno1.g7270.t1	A	anno1.g4085.t1	A
anno1.g7271.t1	A	anno1.g4086.t1	A
anno1.g7273.t1	A	anno1.g4087.t1	A
anno1.g7276.t1	A	anno1.g4080.t2	A
anno1.g7277.t1	A	anno1.g4079.t1	A
anno1.g7279.t1	A	anno1.g6501.t1	A
anno1.g7236.t2	A	anno1.g7662.t1	A
anno1.g7237.t1	A	anno1.g7663.t1	A
anno1.g7238.t2	A	anno1.g7664.t3	A
anno1.g7239.t1	A	anno1.g7665.t1	A
anno1.g7240.t1	A	anno1.g7666.t1	A
anno1.g7242.t1	A	anno1.g7669.t1	A
anno1.g7243.t1	A	anno1.g7670.t1	A
anno1.g7244.t1	A	anno1.g7671.t1	A
anno1.g7249.t1	A	anno1.g7678.t2	A
anno1.g7250.t1	A	anno1.g7679.t1	A
anno1.g7251.t1	A	anno1.g7681.t1	A
anno1.g7215.t1	X	anno1.g1882.t1	X
anno1.g7216.t1	X	anno1.g1881.t1	X
anno1.g7217.t1	X	anno1.g1879.t1	X
anno1.g7218.t1	X	anno1.g1878.t1	X
anno1.g7219.t3	X	anno1.g1877.t1	X
anno1.g7220.t1	X	anno1.g1876.t2	X
anno1.g7223.t1	X	anno1.g1862.t1	X
anno1.g7224.t1	X	anno1.g1830.t1	X
anno1.g7225.t1	X	anno1.g1832.t2	X
anno1.g7226.t1	X	anno1.g1833.t1	X
anno1.g7228.t1	X	anno1.g1834.t1	X
anno1.g7229.t1	X	anno1.g1835.t1	X
anno1.g7230.t1	X	anno1.g1836.t1	X
anno1.g7231.t1	X	anno1.g1837.t1	X
anno1.g7232.t1	X	anno1.g1838.t1	X
anno1.g7189.t1	A	anno1.g14587.t1	A
anno1.g7190.t1	A	anno1.g14588.t1	A
anno1.g7194.t1	A	anno1.g13963.t1	A
anno1.g7196.t1	A	anno1.g5405.t1	A
anno1.g7197.t1	A	anno1.g5406.t2	A
anno1.g7198.t9	A	anno1.g5402.t3	A
anno1.g7199.t1	A	anno1.g5403.t1	A
anno1.g7200.t1	A	anno1.g4081.t1	A
anno1.g7201.t1	A	anno1.g5400.t1	A
anno1.g7202.t1	A	anno1.g5399.t1	A
anno1.g7203.t1	A	anno1.g5398.t1	A
anno1.g7204.t4	A	anno1.g5397.t4	A
anno1.g7206.t1	A	anno1.g5394.t1	A
anno1.g7207.t1	A	anno1.g5393.t1	A
anno1.g7208.t1	A	anno1.g5392.t1	A
anno1.g7209.t1	A	anno1.g5391.t1	A
anno1.g7210.t1	A	anno1.g5389.t1	A
anno1.g7211.t1	A	anno1.g5388.t1	A
anno1.g7212.t1	A	anno1.g5386.t1	A
anno1.g7213.t1	A	anno1.g5588.t2	A
anno1.g7214.t1	A	anno1.g5385.t1	A
anno1.g7181.t1	A	anno1.g12634.t1	A
anno1.g7182.t1	A	anno1.g12635.t1	A
anno1.g7185.t2	A	anno1.g12636.t1	A
anno1.g7187.t1	A	anno1.g12637.t2	A
anno1.g7172.t1	A	anno1.g7380.t2	A
anno1.g7173.t1	A	anno1.g7379.t1	A
anno1.g7174.t1	A	anno1.g7378.t1	A
anno1.g7175.t1	A	anno1.g7374.t1	A
anno1.g7176.t1	A	anno1.g7372.t1	A
anno1.g7177.t1	A	anno1.g7373.t1	A
anno1.g7178.t1	A	anno1.g7371.t1	A
anno1.g7167.t3	A	anno1.g5993.t1	A
anno1.g7168.t1	A	anno1.g5836.t1	A
anno1.g7169.t1	A	anno1.g5898.t1	A
anno1.g7170.t1	A	anno1.g5895.t1	A
anno1.g7144.t1	A	anno1.g9413.t1	A
anno1.g7145.t1	A	anno1.g9414.t1	A
anno1.g7146.t3	A	anno1.g9415.t1	A
anno1.g7148.t1	A	anno1.g9419.t1	A
anno1.g7149.t2	A	anno1.g9420.t2	A
anno1.g7150.t1	A	anno1.g9421.t1	A
anno1.g7151.t1	A	anno1.g9422.t1	A
anno1.g7152.t1	A	anno1.g9423.t1	A
anno1.g7153.t1	A	anno1.g9424.t1	A
anno1.g7154.t2	A	anno1.g9425.t1	A
anno1.g7155.t1	A	anno1.g9426.t1	A
anno1.g7156.t1	A	anno1.g9427.t1	A
anno1.g7157.t2	A	anno1.g9428.t1	A
anno1.g7158.t1	A	anno1.g9429.t2	A
anno1.g7159.t1	A	anno1.g9430.t1	A
anno1.g7068.t1	A	anno1.g5792.t6	A
anno1.g7069.t1	A	anno1.g5790.t1	A
anno1.g7070.t1	A	anno1.g5789.t2	A
anno1.g7071.t2	A	anno1.g5779.t1	A
anno1.g7072.t1	A	anno1.g5780.t1	A
anno1.g7073.t1	A	anno1.g5781.t1	A
anno1.g7075.t1	A	anno1.g5782.t1	A
anno1.g7076.t1	A	anno1.g10808.t1	A
anno1.g7077.t1	A	anno1.g5783.t1	A
anno1.g7078.t2	A	anno1.g5784.t1	A
anno1.g7079.t1	A	anno1.g5785.t2	A
anno1.g7080.t2	A	anno1.g5786.t1	A
anno1.g7081.t1	A	anno1.g5787.t1	A
anno1.g7082.t1	A	anno1.g5788.t1	A
anno1.g7083.t1	A	anno1.g5778.t1	A
anno1.g7084.t1	A	anno1.g5777.t1	A
anno1.g7085.t1	A	anno1.g5776.t1	A
anno1.g7086.t1	A	anno1.g5775.t1	A
anno1.g7087.t1	A	anno1.g5774.t1	A
anno1.g7088.t1	A	anno1.g5773.t1	A
anno1.g7089.t1	A	anno1.g5772.t1	A
anno1.g7090.t1	A	anno1.g11139.t1	A
anno1.g7091.t1	A	anno1.g5767.t1	A
anno1.g7092.t1	A	anno1.g5768.t1	A
anno1.g7093.t1	A	anno1.g5769.t1	A
anno1.g7094.t1	A	anno1.g5771.t1	A
anno1.g7095.t1	A	anno1.g5770.t1	A
anno1.g7096.t1	A	anno1.g6019.t1	A
anno1.g7097.t1	A	anno1.g6456.t1	A
anno1.g7098.t1	A	anno1.g6455.t1	A
anno1.g7101.t1	A	anno1.g6457.t1	A
anno1.g7102.t1	A	anno1.g12260.t1	A
anno1.g7103.t1	A	anno1.g6460.t1	A
anno1.g7104.t1	A	anno1.g6461.t1	A
anno1.g7105.t1	A	anno1.g6462.t1	A
anno1.g7106.t1	A	anno1.g6463.t1	A
anno1.g7108.t1	A	anno1.g6465.t1	A
anno1.g7109.t2	A	anno1.g6466.t2	A
anno1.g7110.t1	A	anno1.g6467.t1	A
anno1.g7112.t1	A	anno1.g6468.t1	A
anno1.g7113.t1	A	anno1.g6470.t1	A
anno1.g7114.t1	A	anno1.g6471.t1	A
anno1.g7115.t2	A	anno1.g6472.t1	A
anno1.g7118.t1	A	anno1.g6474.t1	A
anno1.g7120.t1	A	anno1.g6475.t1	A
anno1.g7121.t1	A	anno1.both_agree_g16014.t3	A
anno1.g7124.t1	A	anno1.g6478.t1	A
anno1.g7125.t1	A	anno1.g6479.t1	A
anno1.g7129.t1	A	anno1.g6482.t1	A
anno1.g7130.t1	A	anno1.g6485.t1	A
anno1.g7131.t1	A	anno1.g6486.t1	A
anno1.g7132.t1	A	anno1.g6487.t2	A
anno1.g7133.t1	A	anno1.g6488.t1	A
anno1.g7137.t1	A	anno1.g6491.t1	A
anno1.g7138.t1	A	anno1.g6492.t2	A
anno1.g7050.t2	A	anno1.g8678.t2	A
anno1.g7051.t1	A	anno1.g14765.t1	A
anno1.g7052.t1	A	anno1.g8664.t1	A
anno1.g7053.t1	A	anno1.g8677.t1	A
anno1.g7055.t1	A	anno1.g8676.t1	A
anno1.g7056.t1	A	anno1.g8675.t1	A
anno1.g7058.t1	A	anno1.g8674.t1	A
anno1.g7059.t1	A	anno1.g8673.t1	A
anno1.g7060.t1	A	anno1.g14762.t1	A
anno1.g7061.t1	A	anno1.g8670.t2	A
anno1.g7062.t1	A	anno1.g8671.t1	A
anno1.g7063.t1	A	anno1.g8669.t1	A
anno1.g7064.t1	A	anno1.g8668.t2	A
anno1.g7065.t1	A	anno1.g8666.t1	A
anno1.g7066.t1	A	anno1.g8665.t1	A
anno1.g7033.t1	A	anno1.g11754.t1	A
anno1.g7035.t1	A	anno1.g11752.t1	A
anno1.g7036.t1	A	anno1.g11474.t1	A
anno1.g7038.t1	A	anno1.g11751.t1	A
anno1.g7041.t1	A	anno1.g11748.t1	A
anno1.g7045.t1	A	anno1.g11466.t1	A
anno1.g7047.t1	A	anno1.g11740.t1	A
anno1.g7048.t2	A	anno1.g11459.t4	A
anno1.g7020.t1	A	anno1.g6449.t2	A
anno1.g7022.t1	A	anno1.g8805.t1	A
anno1.g7024.t1	A	anno1.g6450.t1	A
anno1.g7025.t1	A	anno1.g5814.t1	A
anno1.g7026.t1	A	anno1.g5813.t1	A
anno1.g7027.t1	A	anno1.g5765.t1	A
anno1.g7031.t1	A	anno1.g7667.t1	A
anno1.g7018.t1	A	anno1.g3031.t2	A
anno1.g7019.t1	A	anno1.g3028.t1	A
anno1.g7003.t1	A	anno1.g9378.t2	A
anno1.g7004.t2	A	anno1.g9377.t2	A
anno1.g7005.t2	A	anno1.g9376.t1	A
anno1.g7008.t1	A	anno1.g9374.t2	A
anno1.g7010.t1	A	anno1.g9373.t2	A
anno1.g7013.t2	A	anno1.g9371.t1	A
anno1.g7016.t1	A	anno1.g9368.t1	A
anno1.g6992.t1	A	anno1.g11073.t1	A
anno1.g6994.t1	A	anno1.g11785.t1	A
anno1.g6995.t1	A	anno1.g11789.t1	A
anno1.g6996.t1	A	anno1.g14711.t1	A
anno1.g6997.t1	A	anno1.g14712.t1	A
anno1.g6985.t1	A	anno1.g11651.t1	A
anno1.g6986.t2	A	anno1.g11735.t2	A
anno1.g6987.t1	A	anno1.g11655.t1	A
anno1.g6988.t1	A	anno1.g11737.t1	A
anno1.g6989.t1	A	anno1.g11657.t1	A
anno1.g6990.t1	A	anno1.g11658.t1	A
anno1.g6980.t1	A	anno1.g10740.t1	A
anno1.g6981.t1	A	anno1.g10741.t1	A
anno1.g6982.t2	A	anno1.g5423.t1	A
anno1.g6983.t1	A	anno1.g10743.t1	A
anno1.g6974.t3	X	anno1.g2077.t3	X
anno1.g6975.t1	X	anno1.g2076.t1	X
anno1.g6976.t1	X	anno1.g2075.t1	X
anno1.g6977.t1	X	anno1.g1787.t1	X
anno1.g6911.t1	A	anno1.g8615.t1	A
anno1.g6912.t1	A	anno1.g8616.t1	A
anno1.g6913.t2	A	anno1.g8617.t1	A
anno1.g6914.t1	A	anno1.g8618.t2	A
anno1.g6915.t1	A	anno1.g8552.t1	A
anno1.g6916.t1	A	anno1.g8619.t1	A
anno1.g6917.t1	A	anno1.g8620.t1	A
anno1.g6919.t1	A	anno1.g8589.t1	A
anno1.g6920.t1	A	anno1.g8590.t1	A
anno1.g6921.t1	A	anno1.g8591.t1	A
anno1.g6922.t3	A	anno1.g8593.t2	A
anno1.g6923.t1	A	anno1.g8592.t1	A
anno1.g6924.t1	A	anno1.g8595.t1	A
anno1.g6925.t1	A	anno1.g8596.t2	A
anno1.g6928.t1	A	anno1.g8601.t1	A
anno1.g6929.t2	A	anno1.g8602.t1	A
anno1.g6930.t1	A	anno1.g8603.t1	A
anno1.g6931.t1	A	anno1.g8604.t1	A
anno1.g6932.t1	A	anno1.g8605.t1	A
anno1.g6933.t1	A	anno1.g8606.t1	A
anno1.g6934.t1	A	anno1.g8607.t2	A
anno1.g6935.t1	A	anno1.g8608.t1	A
anno1.g6936.t1	A	anno1.g8662.t1	A
anno1.g6937.t3	A	anno1.g8610.t2	A
anno1.g6938.t3	A	anno1.g8613.t1	A
anno1.g6939.t1	A	anno1.g7999.t1	A
anno1.g6940.t1	A	anno1.g7998.t1	A
anno1.g6941.t1	A	anno1.g7997.t1	A
anno1.g6944.t1	A	anno1.g7993.t1	A
anno1.g6945.t1	A	anno1.g7992.t1	A
anno1.g6947.t1	A	anno1.g7955.t1	A
anno1.g6948.t1	A	anno1.g7944.t1	A
anno1.g6949.t3	A	anno1.g7925.t1	A
anno1.g6951.t1	A	anno1.g7968.t1	A
anno1.g6952.t1	A	anno1.g7965.t2	A
anno1.g6953.t1	A	anno1.g7964.t1	A
anno1.g6954.t1	A	anno1.g7963.t1	A
anno1.g6956.t1	A	anno1.g7959.t1	A
anno1.g6957.t1	A	anno1.g7953.t1	A
anno1.g6959.t1	A	anno1.g7970.t1	A
anno1.g6961.t1	A	anno1.g7973.t1	A
anno1.g6964.t1	A	anno1.g7976.t1	A
anno1.g6965.t1	A	anno1.g7977.t1	A
anno1.g6966.t2	A	anno1.g7978.t1	A
anno1.g6971.t1	A	anno1.g7981.t1	A
anno1.g6972.t1	A	anno1.g7982.t1	A
anno1.g6973.t1	A	anno1.g7983.t1	A
anno1.g6906.t1	X	anno1.g1864.t1	X
anno1.g6907.t3	X	anno1.g1865.t5	X
anno1.g6908.t2	X	anno1.g9199.t2	A
anno1.g6909.t1	X	anno1.g1867.t1	X
anno1.g6898.t1	A	anno1.g10895.t1	A
anno1.g6900.t1	A	anno1.g10897.t1	A
anno1.g6902.t2	A	anno1.g11422.t1	A
anno1.g6904.t1	A	anno1.g11424.t1	A
anno1.g6882.t1	A	anno1.g3778.t1	A
anno1.g6883.t1	A	anno1.g3777.t1	A
anno1.g6884.t1	A	anno1.g3774.t1	A
anno1.g6885.t1	A	anno1.g3304.t1	A
anno1.g6886.t3	A	anno1.g3303.t1	A
anno1.g6887.t1	A	anno1.g3301.t2	A
anno1.g6888.t1	A	anno1.g3300.t1	A
anno1.g6889.t1	A	anno1.g3299.t1	A
anno1.g6890.t1	A	anno1.g9243.t1	A
anno1.g6894.t2	A	anno1.g3298.t1	A
anno1.g6878.t1	A	anno1.g13202.t1	A
anno1.g6879.t3	A	anno1.g13208.t1	A
anno1.g6873.t1	X	anno1.g9717.t1	A
anno1.g6874.t2	X	anno1.g1755.t1	X
anno1.g6875.t1	X	anno1.g1804.t1	X
anno1.g6876.t1	X	anno1.g1901.t1	X
anno1.g6877.t1	X	anno1.g1993.t2	X
anno1.g6860.t1	A	anno1.g7718.t1	A
anno1.g6861.t3	A	anno1.g7844.t3	A
anno1.g6863.t1	A	anno1.g7719.t1	A
anno1.g6864.t1	A	anno1.g7742.t1	A
anno1.g6865.t1	A	anno1.g7737.t1	A
anno1.g6866.t1	A	anno1.g7771.t1	A
anno1.g6867.t1	A	anno1.g7768.t1	A
anno1.g6869.t1	A	anno1.g7761.t1	A
anno1.g6870.t1	A	anno1.g7760.t2	A
anno1.g6839.t1	A	anno1.g3787.t1	A
anno1.g6840.t1	A	anno1.g3573.t1	A
anno1.g6843.t1	A	anno1.g3570.t1	A
anno1.g6844.t1	A	anno1.g3569.t1	A
anno1.g6845.t1	A	anno1.g3568.t1	A
anno1.g6846.t1	A	anno1.g3567.t1	A
anno1.g6847.t1	A	anno1.g3565.t1	A
anno1.g6848.t1	A	anno1.g3564.t1	A
anno1.g6849.t1	A	anno1.g3562.t1	A
anno1.g6850.t1	A	anno1.g3561.t1	A
anno1.g6851.t1	A	anno1.g6618.t1	A
anno1.g6852.t1	A	anno1.g3577.t1	A
anno1.g6853.t2	A	anno1.g3555.t2	A
anno1.g6854.t4	A	anno1.g3552.t4	A
anno1.g6855.t1	A	anno1.g3551.t1	A
anno1.g6856.t1	A	anno1.g3550.t1	A
anno1.g6857.t1	A	anno1.g3549.t1	A
anno1.g6858.t1	A	anno1.g3548.t2	A
anno1.g6825.t1	A	anno1.g8639.t1	A
anno1.g6828.t2	A	anno1.g8637.t1	A
anno1.g6829.t1	A	anno1.g8636.t1	A
anno1.g6830.t1	A	anno1.g8635.t1	A
anno1.g6831.t1	A	anno1.g8634.t1	A
anno1.g6832.t1	A	anno1.g8633.t1	A
anno1.g6833.t1	A	anno1.g8632.t1	A
anno1.g6834.t1	A	anno1.g8631.t1	A
anno1.g6836.t1	A	anno1.g8629.t1	A
anno1.g6837.t1	A	anno1.g13925.t1	A
anno1.g6785.t1	A	anno1.g4140.t1	A
anno1.g6786.t1	A	anno1.g4139.t1	A
anno1.g6787.t1	A	anno1.g4138.t1	A
anno1.g6788.t2	A	anno1.g4137.t1	A
anno1.g6789.t2	A	anno1.g4136.t3	A
anno1.g6790.t1	A	anno1.g4134.t1	A
anno1.g6792.t1	A	anno1.g4133.t1	A
anno1.g6793.t1	A	anno1.g4132.t1	A
anno1.g6794.t2	A	anno1.g4131.t1	A
anno1.g6795.t1	A	anno1.g4130.t1	A
anno1.g6796.t1	A	anno1.g4129.t1	A
anno1.g6798.t1	A	anno1.g4128.t1	A
anno1.g6799.t1	A	anno1.g4127.t1	A
anno1.g6800.t1	A	anno1.g4121.t1	A
anno1.g6801.t1	A	anno1.g4122.t1	A
anno1.g6802.t2	A	anno1.g4126.t2	A
anno1.g6803.t1	A	anno1.g4125.t1	A
anno1.g6804.t1	A	anno1.g4124.t1	A
anno1.g6805.t1	A	anno1.g4123.t1	A
anno1.g6806.t1	A	anno1.g4120.t1	A
anno1.g6808.t1	A	anno1.g4119.t1	A
anno1.g6809.t1	A	anno1.g4118.t1	A
anno1.g6810.t1	A	anno1.g4117.t2	A
anno1.g6811.t2	A	anno1.g5335.t2	A
anno1.g6813.t1	A	anno1.g5340.t1	A
anno1.g6814.t1	A	anno1.g5341.t1	A
anno1.g6815.t1	A	anno1.g5342.t1	A
anno1.g6816.t1	A	anno1.g5345.t1	A
anno1.g6817.t1	A	anno1.g5343.t1	A
anno1.g6819.t1	A	anno1.g5346.t1	A
anno1.g6820.t1	A	anno1.g5347.t1	A
anno1.g6821.t1	A	anno1.g5359.t1	A
anno1.g6822.t1	A	anno1.g5357.t3	A
anno1.g6823.t1	A	anno1.g4148.t1	A
anno1.g6778.t1	A	anno1.g6126.t1	A
anno1.g6779.t1	A	anno1.g5964.t1	A
anno1.g6781.t1	A	anno1.g6153.t1	A
anno1.g6782.t1	A	anno1.g6206.t1	A
anno1.g6783.t1	A	anno1.g6205.t1	A
anno1.g6774.t1	X	anno1.g1883.t2	X
anno1.g6775.t1	X	anno1.g1884.t1	X
anno1.g6776.t1	X	anno1.g1887.t1	X
anno1.g6757.t1	A	anno1.g3624.t2	A
anno1.g6758.t1	A	anno1.g3625.t1	A
anno1.g6760.t1	A	anno1.g3627.t1	A
anno1.g6761.t1	A	anno1.g3626.t2	A
anno1.g6762.t1	A	anno1.g3629.t1	A
anno1.g6763.t1	A	anno1.g3630.t1	A
anno1.g6764.t1	A	anno1.g3631.t3	A
anno1.g6766.t1	A	anno1.g3362.t2	A
anno1.g6767.t1	A	anno1.g3632.t1	A
anno1.g6768.t1	A	anno1.g3633.t1	A
anno1.g6769.t1	A	anno1.g3634.t1	A
anno1.g6770.t1	A	anno1.g3635.t1	A
anno1.g6771.t1	A	anno1.g3636.t1	A
anno1.g6755.t1	A	anno1.g10705.t1	A
anno1.g6747.t2	A	anno1.g8768.t2	A
anno1.g6748.t1	A	anno1.g3131.t1	A
anno1.g6751.t1	A	anno1.g8764.t1	A
anno1.g6752.t1	A	anno1.g8763.t1	A
anno1.g6753.t2	A	anno1.g8762.t1	A
anno1.g6754.t3	A	anno1.g8761.t1	A
anno1.g6741.t1	A	anno1.g4360.t1	A
anno1.g6742.t1	A	anno1.g4359.t1	A
anno1.g6744.t1	A	anno1.g4367.t1	A
anno1.g6745.t1	A	anno1.g4369.t1	A
anno1.g6719.t1	A	anno1.g1045.t1	A
anno1.g6720.t1	A	anno1.g1044.t1	A
anno1.g6722.t1	A	anno1.g1041.t1	A
anno1.g6726.t1	A	anno1.g1038.t1	A
anno1.g6727.t1	A	anno1.g1036.t1	A
anno1.g6729.t1	A	anno1.g1033.t1	A
anno1.g6731.t1	A	anno1.g1029.t1	A
anno1.g6732.t1	A	anno1.g928.t1	A
anno1.g6733.t8	A	anno1.g1028.t1	A
anno1.g6734.t1	A	anno1.g1027.t1	A
anno1.g6735.t1	A	anno1.g1025.t1	A
anno1.g6736.t1	A	anno1.g1024.t1	A
anno1.g6737.t1	A	anno1.g1023.t1	A
anno1.g6738.t1	A	anno1.g1022.t1	A
anno1.g6739.t1	A	anno1.g815.t1	A
anno1.g6740.t1	A	anno1.g816.t1	A
anno1.g6698.t1	A	anno1.g5818.t1	A
anno1.g6702.t1	A	anno1.g9263.t1	A
anno1.g6703.t2	A	anno1.g14621.t1	A
anno1.g6704.t2	A	anno1.g6648.t1	A
anno1.g6706.t1	A	anno1.g6646.t1	A
anno1.g6708.t1	A	anno1.g6635.t2	A
anno1.g6709.t1	A	anno1.g6637.t1	A
anno1.g6713.t1	A	anno1.g6638.t2	A
anno1.g6677.t1	A	anno1.g9892.t1	A
anno1.g6678.t1	A	anno1.g9891.t1	A
anno1.g6679.t1	A	anno1.g9890.t1	A
anno1.g6680.t1	A	anno1.g9889.t1	A
anno1.g6681.t1	A	anno1.g9888.t1	A
anno1.g6682.t1	A	anno1.g9887.t1	A
anno1.g6683.t1	A	anno1.g9886.t2	A
anno1.g6684.t1	A	anno1.g9884.t1	A
anno1.g6685.t1	A	anno1.g9883.t2	A
anno1.g6686.t1	A	anno1.g9882.t1	A
anno1.g6687.t1	A	anno1.g9878.t1	A
anno1.g6688.t1	A	anno1.g9879.t1	A
anno1.g6689.t1	A	anno1.g9881.t1	A
anno1.g6690.t1	A	anno1.g10123.t1	A
anno1.g6691.t1	A	anno1.g10124.t1	A
anno1.g6692.t1	A	anno1.g10126.t1	A
anno1.g6693.t1	A	anno1.g10127.t1	A
anno1.g6694.t1	A	anno1.g10129.t1	A
anno1.g6695.t4	A	anno1.g10134.t1	A
anno1.g6697.t1	A	anno1.g10135.t1	A
anno1.g6606.t1	A	anno1.g6809.t1	A
anno1.g6607.t1	A	anno1.g6811.t1	A
anno1.g6608.t1	A	anno1.g14192.t1	A
anno1.g6609.t1	A	anno1.g6812.t1	A
anno1.g6610.t1	A	anno1.g6813.t1	A
anno1.g6611.t1	A	anno1.g6814.t1	A
anno1.g6612.t1	A	anno1.g6815.t2	A
anno1.g6613.t1	A	anno1.g6817.t1	A
anno1.g6614.t1	A	anno1.g6819.t1	A
anno1.g6615.t2	A	anno1.g6820.t1	A
anno1.g6617.t1	A	anno1.g5484.t1	A
anno1.g6618.t2	A	anno1.g6821.t2	A
anno1.g6619.t1	A	anno1.g6824.t1	A
anno1.g6620.t1	A	anno1.g6825.t1	A
anno1.g6621.t1	A	anno1.g6827.t1	A
anno1.g6622.t1	A	anno1.g6828.t1	A
anno1.g6623.t1	A	anno1.g6829.t2	A
anno1.g6625.t1	A	anno1.g6830.t1	A
anno1.g6626.t1	A	anno1.g6831.t1	A
anno1.g6627.t1	A	anno1.g6832.t1	A
anno1.g6628.t1	A	anno1.g6836.t1	A
anno1.g6629.t1	A	anno1.g6837.t1	A
anno1.g6630.t1	A	anno1.g6838.t1	A
anno1.g6631.t3	A	anno1.g6839.t3	A
anno1.g6632.t1	A	anno1.g6840.t1	A
anno1.g6633.t2	A	anno1.g6842.t2	A
anno1.g6634.t1	A	anno1.g6844.t1	A
anno1.g6635.t1	A	anno1.g6845.t1	A
anno1.g6636.t1	A	anno1.g6846.t1	A
anno1.g6637.t1	A	anno1.g6847.t1	A
anno1.g6638.t1	A	anno1.g6848.t1	A
anno1.g6640.t2	A	anno1.g6849.t2	A
anno1.g6641.t2	A	anno1.g6850.t1	A
anno1.g6642.t1	A	anno1.g6851.t1	A
anno1.g6643.t1	A	anno1.g6852.t2	A
anno1.g6644.t2	A	anno1.g6853.t1	A
anno1.g6645.t1	A	anno1.g6854.t1	A
anno1.g6646.t1	A	anno1.g6855.t1	A
anno1.g6647.t1	A	anno1.g6856.t1	A
anno1.g6648.t1	A	anno1.g6857.t1	A
anno1.g6649.t2	A	anno1.g6858.t3	A
anno1.g6650.t1	A	anno1.g6859.t1	A
anno1.g6651.t1	A	anno1.g6860.t1	A
anno1.g6652.t1	A	anno1.g6808.t1	A
anno1.g6653.t1	A	anno1.g6807.t1	A
anno1.g6654.t1	A	anno1.g6806.t2	A
anno1.g6655.t2	A	anno1.g6805.t1	A
anno1.g6656.t1	A	anno1.g6804.t1	A
anno1.g6657.t1	A	anno1.g6800.t1	A
anno1.g6658.t1	A	anno1.g6799.t1	A
anno1.g6659.t1	A	anno1.g6798.t1	A
anno1.g6660.t2	A	anno1.g6796.t1	A
anno1.g6661.t1	A	anno1.g6795.t1	A
anno1.g6662.t2	A	anno1.g6792.t2	A
anno1.g6663.t3	A	anno1.g6791.t2	A
anno1.g6664.t1	A	anno1.g6787.t1	A
anno1.g6665.t1	A	anno1.g6786.t1	A
anno1.g6666.t2	A	anno1.g5948.t1	A
anno1.g6667.t1	A	anno1.g5949.t2	A
anno1.g6670.t1	A	anno1.g5950.t1	A
anno1.g6671.t1	A	anno1.g5951.t1	A
anno1.g6673.t1	A	anno1.g5952.t1	A
anno1.g6674.t1	A	anno1.g5953.t1	A
anno1.g6604.t1	A	anno1.g14622.t2	A
anno1.g6592.t1	A	anno1.g14750.t1	A
anno1.g6594.t1	A	anno1.g6107.t1	A
anno1.g6595.t1	A	anno1.g6108.t1	A
anno1.g6596.t1	A	anno1.g7210.t1	A
anno1.g6597.t2	A	anno1.g7209.t1	A
anno1.g6598.t1	A	anno1.g7208.t1	A
anno1.g6599.t1	A	anno1.g7207.t2	A
anno1.g6601.t1	A	anno1.g7206.t1	A
anno1.g6591.t1	A	anno1.g8978.t4	A
anno1.g6590.t1	A	anno1.g14004.t1	A
anno1.g6586.t1	A	anno1.g9418.t1	A
anno1.g6582.t2	A	anno1.g9192.t1	A
anno1.g6583.t1	A	anno1.g9193.t1	A
anno1.g6584.t1	A	anno1.g9086.t1	A
anno1.g6570.t1	A	anno1.g13134.t1	A
anno1.g6572.t2	A	anno1.g13174.t1	A
anno1.g6574.t1	A	anno1.g13162.t1	A
anno1.g6575.t1	A	anno1.g13171.t1	A
anno1.g6576.t1	A	anno1.g13169.t1	A
anno1.g6577.t1	A	anno1.g13168.t1	A
anno1.g6578.t1	A	anno1.g13167.t1	A
anno1.g6579.t1	A	anno1.g13175.t1	A
anno1.g6580.t1	A	anno1.g13176.t1	A
anno1.g6536.t1	A	anno1.g5146.t1	A
anno1.g6537.t1	A	anno1.g6567.t1	A
anno1.g6538.t1	A	anno1.g6605.t2	A
anno1.g6539.t1	A	anno1.g6606.t1	A
anno1.g6542.t1	A	anno1.g6609.t1	A
anno1.g6543.t1	A	anno1.g6610.t1	A
anno1.g6544.t1	A	anno1.g2596.t1	A
anno1.g6545.t1	A	anno1.g6611.t1	A
anno1.g6547.t2	A	anno1.g6615.t2	A
anno1.g6548.t1	A	anno1.g6616.t1	A
anno1.g6550.t2	A	anno1.g6617.t1	A
anno1.g6551.t1	A	anno1.g6451.t1	A
anno1.g6553.t1	A	anno1.g3623.t1	A
anno1.g6554.t1	A	anno1.g6452.t1	A
anno1.g6555.t1	A	anno1.g14315.t1	A
anno1.g6556.t1	A	anno1.g6454.t1	A
anno1.g6557.t1	A	anno1.g3541.t1	A
anno1.g6558.t3	A	anno1.g5815.t1	A
