D_sublineata	chromosome	C_maculatus	chromosome
rna-XM_056788150.1	A	g3086.t1	A
rna-XM_056787037.1	A	g4912.t1	A
rna-XM_056786913.1	A	g4913.t1	A
rna-XM_056786998.1	A	g6789.t1	A
rna-XM_056786999.1	A	g3309.t1	A
rna-XM_056786975.1	A	g6790.t3	A
rna-XM_056786980.1	A	g362.t1	A
rna-XM_056787792.1	A	g1049.t1	A
rna-XM_056787796.1	A	g10113.t1	A
rna-XM_056787580.1	A	g8966.t1	A
rna-XM_056787535.1	A	g12225.t1	A
rna-XM_056787344.1	A	g12224.t1	A
rna-XM_056787343.1	A	g927.t2	A
rna-XM_056787345.1	A	g7110.t1	A
rna-XM_056786973.1	A	g7109.t1	A
rna-XM_056787330.1	A	g1047.t1	A
rna-XM_056787517.1	A	g2695.t1	A
rna-XM_056787690.1	A	g2148.t1	A
rna-XM_056787706.1	A	g2147.t1	A
rna-XM_056787710.1	A	g1762.t1	A
rna-XM_056787768.1	A	g5649.t1	A
rna-XM_056787647.1	A	g2301.t1	A
rna-XM_056787644.1	A	g1761.t1	A
rna-XM_056787648.1	A	g2146.t1	A
rna-XM_056787646.1	A	g14749.t1	A
rna-XM_056787649.1	A	g1764.t1	A
rna-XM_056787650.1	A	g5599.t1	A
rna-XM_056787651.1	A	g2302.t1	A
rna-XM_056787652.1	A	g6006.t1	A
rna-XM_056787788.1	A	g926.t1	A
rna-XM_056788061.1	A	g6003.t1	A
rna-XM_056788059.1	A	g6004.t1	A
rna-XM_056788062.1	A	g6002.t1	A
rna-XM_056788066.1	A	g6846.t1	A
rna-XM_056788064.1	A	g6847.t1	A
rna-XM_056787598.1	A	g7330.t1	A
rna-XM_056787600.1	A	g2187.t1	A
rna-XM_056787601.1	A	g7332.t1	A
rna-XM_056787619.1	A	g3526.t1	A
rna-XM_056787872.1	A	g12638.t2	A
rna-XM_056787559.1	A	g8329.t1	A
rna-XM_056787671.1	A	g9007.t1	A
rna-XM_056787115.1	A	g6296.t1	A
rna-XM_056787261.1	A	g12593.t1	A
rna-XM_056787262.1	A	g11794.t1	A
rna-XM_056787260.1	A	g11798.t1	A
rna-XM_056787764.1	A	g12125.t2	A
rna-XM_056787698.1	A	g10784.t1	A
rna-XM_056787699.1	A	g14042.t1	A
rna-XM_056786963.1	A	g14043.t1	A
rna-XM_056787402.1	A	g3402.t2	A
rna-XM_056787407.1	A	g259.t1	A
rna-XM_056787404.1	A	g260.t1	A
rna-XM_056787318.1	A	g261.t1	A
rna-XM_056787319.1	A	g320.t1	A
rna-XM_056787322.1	A	g317.t3	A
rna-XM_056787321.1	A	g318.t1	A
rna-XM_056787752.1	A	g12550.t1	A
rna-XM_056787718.1	A	g315.t1	A
rna-XM_056787720.1	A	g12138.t1	A
rna-XM_056786914.1	A	g316.t1	A
rna-XM_056787143.1	A	g321.t1	A
rna-XM_056787145.1	A	g324.t1	A
rna-XM_056787151.1	A	g8240.t2	A
rna-XM_056787152.1	A	g7998.t1	A
rna-XM_056787148.1	A	g7997.t2	A
rna-XM_056787160.1	A	g7896.t1	A
rna-XM_056787166.1	A	g7902.t1	A
rna-XM_056787153.1	A	g258.t1	A
rna-XM_056787164.1	A	g13430.t2	A
rna-XM_056787154.1	A	g14637.t1	A
rna-XM_056787159.1	A	g11520.t1	A
rna-XM_056787157.1	A	g13431.t1	A
rna-XM_056787165.1	A	g12570.t1	A
rna-XM_056787167.1	A	g1048.t1	A
rna-XM_056787168.1	A	g13429.t1	A
rna-XM_056787180.1	A	g13404.t1	A
rna-XM_056787170.1	A	g13400.t1	A
rna-XM_056787188.1	A	g13405.t1	A
rna-XM_056787183.1	A	g13406.t3	A
rna-XM_056787192.1	A	g13407.t1	A
rna-XM_056787193.1	A	g13412.t1	A
rna-XM_056787879.1	A	g13388.t2	A
rna-XM_056787197.1	A	g11740.t1	A
rna-XM_056787194.1	A	g11741.t1	A
rna-XM_056787196.1	A	g11739.t1	A
rna-XM_056787199.1	A	g12300.t1	A
rna-XM_056787201.1	A	g4034.t2	A
rna-XM_056787205.1	A	g11738.t1	A
rna-XM_056787206.1	A	g11742.t1	A
rna-XM_056787209.1	A	g3187.t1	A
rna-XM_056787204.1	A	g257.t1	A
rna-XM_056787210.1	A	g12407.t1	A
rna-XM_056787208.1	A	g12406.t1	A
rna-XM_056787217.1	A	g250.t1	A
rna-XM_056787211.1	A	g252.t1	A
rna-XM_056787218.1	A	g1437.t1	X
rna-XM_056787220.1	A	g253.t1	A
rna-XM_056787219.1	A	g255.t1	A
rna-XM_056787223.1	A	g12408.t1	A
rna-XM_056787225.1	A	g13207.t1	A
rna-XM_056787226.1	A	g13391.t1	A
rna-XM_056787229.1	A	g8025.t1	A
rna-XM_056787228.1	A	g13206.t1	A
rna-XM_056787231.1	A	g13390.t1	A
rna-XM_056787232.1	A	g7891.t1	A
rna-XM_056787234.1	A	g7893.t1	A
rna-XM_056787233.1	A	g7892.t1	A
rna-XM_056787237.1	A	g11799.t1	A
rna-XM_056787239.1	A	g11800.t1	A
rna-XM_056787242.1	A	g11803.t1	A
rna-XM_056787240.1	A	g11802.t1	A
rna-XM_056787243.1	A	g11804.t1	A
rna-XM_056787251.1	A	g13705.t1	A
rna-XM_056787253.1	A	g11639.t2	A
rna-XM_056787254.1	A	g11638.t1	A
rna-XM_056787248.1	A	g11637.t1	A
rna-XM_056787702.1	A	g7901.t2	A
rna-XM_056786989.1	A	g12336.t1	A
rna-XM_056787079.1	A	g12335.t1	A
rna-XM_056787077.1	A	g8012.t1	A
rna-XM_056787669.1	A	g4353.t1	A
rna-XM_056787749.1	A	g6314.t1	A
rna-XM_056788138.1	A	g6108.t1	A
rna-XM_056788143.1	A	g6109.t2	A
rna-XM_056788139.1	A	g6322.t1	A
rna-XM_056788116.1	A	g3269.t2	A
rna-XM_056788122.1	A	g409.t2	A
rna-XM_056788144.1	A	g6088.t2	A
rna-XM_056788145.1	A	g4369.t1	A
rna-XM_056788147.1	A	g1876.t1	A
rna-XM_056787717.1	A	g11752.t1	A
rna-XM_056787880.1	A	g6682.t2	A
rna-XM_056786988.1	A	g9734.t1	A
rna-XM_056786986.1	A	g36.t1	A
rna-XM_056787388.1	A	g37.t1	A
rna-XM_056787573.1	A	g2944.t1	A
rna-XM_056787594.1	A	g8050.t2	A
rna-XM_056787592.1	A	g8073.t1	A
rna-XM_056787663.1	A	g9126.t1	A
rna-XM_056786964.1	A	g4444.t2	A
rna-XM_056786923.1	A	g9545.t1	A
rna-XM_056786924.1	A	g5962.t2	A
rna-XM_056788161.1	A	g10991.t1	A
rna-XM_056788163.1	A	g199.t1	A
rna-XM_056788164.1	A	g6716.t1	A
rna-XM_056788165.1	A	g13433.t1	A
rna-XM_056788168.1	A	g4255.t1	A
rna-XM_056788167.1	A	g12592.t1	A
rna-XM_056787976.1	A	g12283.t2	A
rna-XM_056787978.1	A	g12282.t1	A
rna-XM_056787979.1	A	g11675.t1	A
rna-XM_056787980.1	A	g12752.t1	A
rna-XM_056787611.1	A	g12745.t1	A
rna-XM_056788044.1	A	g12917.t1	A
rna-XM_056788041.1	A	g10925.t1	A
rna-XM_056787548.1	A	g11499.t1	A
rna-XM_056787549.1	A	g2228.t1	A
rna-XM_056787736.1	A	g6885.t1	A
rna-XM_056787335.1	A	g6884.t2	A
rna-XM_056786833.1	A	g4735.t2	A
rna-XM_056787643.1	A	g5858.t1	A
rna-XM_056787822.1	A	g3240.t1	A
rna-XM_056787602.1	A	g9761.t1	A
rna-XM_056787681.1	A	g7746.t1	A
rna-XM_056787140.1	A	g7859.t1	A
rna-XM_056787139.1	A	g7673.t1	A
rna-XM_056787269.1	A	g8052.t1	A
rna-XM_056787085.1	A	g5136.t1	A
rna-XM_056788086.1	A	g4827.t1	A
rna-XM_056788087.1	A	g4828.t1	A
rna-XM_056788088.1	A	g1210.t1	A
rna-XM_056788090.1	A	g1606.t2	X
rna-XM_056787785.1	A	g1211.t1	A
rna-XM_056787627.1	A	g1269.t1	A
rna-XM_056787626.1	A	g13000.t1	A
rna-XM_056787630.1	A	g1215.t1	A
rna-XM_056787628.1	A	g1216.t1	A
rna-XM_056787629.1	A	g1217.t1	A
rna-XM_056787634.1	A	g1214.t1	A
rna-XM_056787636.1	A	g1213.t1	A
rna-XM_056787639.1	A	g8361.t3	A
rna-XM_056787886.1	A	g6725.t1	A
rna-XM_056788083.1	A	g2316.t1	A
rna-XM_056788081.1	A	g5949.t1	A
rna-XM_056788085.1	A	g5948.t1	A
rna-XM_056787680.1	A	g5947.t1	A
rna-XM_056787677.1	A	g9874.t2	A
rna-XM_056787675.1	A	g8609.t1	A
rna-XM_056787382.1	A	g3563.t1	A
rna-XM_056787395.1	A	g1205.t1	A
rna-XM_056787394.1	A	g9739.t1	A
rna-XM_056787392.1	A	g13138.t1	A
rna-XM_056787393.1	A	g4620.t1	A
rna-XM_056787396.1	A	g3825.t1	A
rna-XM_056787760.1	A	g9758.t2	A
rna-XM_056787761.1	A	g1866.t1	A
rna-XM_056787564.1	A	g2094.t1	A
rna-XM_056787413.1	A	g13016.t1	A
rna-XM_056787416.1	A	g13014.t1	A
rna-XM_056787418.1	A	g13013.t1	A
rna-XM_056787420.1	A	g13012.t1	A
rna-XM_056787426.1	A	g3375.t1	A
rna-XM_056787421.1	A	g4382.t1	A
rna-XM_056787424.1	A	g13011.t2	A
rna-XM_056787428.1	A	g3756.t1	A
rna-XM_056787431.1	A	g490.t1	A
rna-XM_056787430.1	A	g14377.t1	A
rna-XM_056787434.1	A	g11031.t1	A
rna-XM_056787433.1	A	g1864.t1	A
rna-XM_056787435.1	A	g11572.t1	A
rna-XM_056787439.1	A	g14182.t1	A
rna-XM_056787443.1	A	g13937.t1	A
rna-XM_056787305.1	A	g5661.t1	A
rna-XM_056787308.1	A	g8237.t1	A
rna-XM_056786965.1	A	g13962.t1	A
rna-XM_056787737.1	A	g12279.t1	A
rna-XM_056787746.1	A	g4409.t1	A
rna-XM_056787779.1	A	g12372.t1	A
rna-XM_056787889.1	A	g2379.t1	A
rna-XM_056787733.1	A	g2382.t2	A
rna-XM_056787553.1	A	g8213.t1	A
rna-XM_056787557.1	A	g3730.t1	A
rna-XM_056787284.1	A	g11926.t4	A
rna-XM_056787279.1	A	g12098.t2	A
rna-XM_056787286.1	A	g9913.t3	A
rna-XM_056787289.1	A	g5915.t1	A
rna-XM_056787297.1	A	g8043.t1	A
rna-XM_056787298.1	A	g9206.t1	A
rna-XM_056787036.1	A	g4269.t1	A
rna-XM_056787537.1	A	g662.t1	A
rna-XM_056787538.1	A	g11116.t1	A
rna-XM_056787539.1	A	g11115.t1	A
rna-XM_056787691.1	A	g847.t1	A
rna-XM_056787692.1	A	g845.t1	A
rna-XM_056787725.1	A	g576.t1	A
rna-XM_056787729.1	A	g8062.t1	A
rna-XM_056787782.1	A	g5820.t1	A
rna-XM_056787014.1	A	g2357.t1	A
rna-XM_056788011.1	A	g2249.t3	A
rna-XM_056787824.1	A	g12866.t2	A
rna-XM_056786834.1	A	g3124.t1	A
rna-XM_056787890.1	A	g8481.t3	A
rna-XM_056788045.1	A	g8058.t1	A
rna-XM_056787891.1	A	g2350.t1	A
rna-XM_056787040.1	A	g598.t1	A
rna-XM_056787655.1	A	g10696.t2	A
rna-XM_056787657.1	A	g2358.t1	A
rna-XM_056787119.1	A	g10428.t1	A
rna-XM_056787892.1	A	g10423.t2	A
rna-XM_056786941.1	A	g6893.t1	A
rna-XM_056786942.1	A	g876.t2	A
rna-XM_056786944.1	A	g875.t1	A
rna-XM_056786918.1	A	g3203.t2	A
rna-XM_056787043.1	A	g13835.t1	A
rna-XM_056787046.1	A	g877.t2	A
rna-XM_056787050.1	A	g10306.t1	A
rna-XM_056787052.1	A	g6892.t1	A
rna-XM_056787054.1	A	g10677.t1	A
rna-XM_056787060.1	A	g3990.t1	A
rna-XM_056787064.1	A	g2732.t1	A
rna-XM_056787067.1	A	g2734.t1	A
rna-XM_056787070.1	A	g7329.t1	A
rna-XM_056787072.1	A	g9453.t1	A
rna-XM_056787258.1	A	g122.t1	A
rna-XM_056786933.1	A	g12214.t1	A
rna-XM_056786930.1	A	g8781.t1	A
rna-XM_056787118.1	A	g7980.t1	A
rna-XM_056787534.1	A	g5596.t1	A
rna-XM_056787897.1	A	g9171.t1	A
rna-XM_056787299.1	A	g2191.t1	A
rna-XM_056787898.1	A	g4136.t1	A
rna-XM_056787570.1	A	g7706.t1	A
rna-XM_056787605.1	A	g14574.t1	A
rna-XM_056787604.1	A	g14577.t1	A
rna-XM_056787603.1	A	g9285.t1	A
rna-XM_056787606.1	A	g9286.t1	A
rna-XM_056787566.1	A	g8932.t1	A
rna-XM_056788160.1	A	g2190.t2	A
rna-XM_056788158.1	A	g5680.t1	A
rna-XM_056787332.1	A	g4271.t2	A
rna-XM_056787791.1	A	g5150.t1	A
rna-XM_056787790.1	A	g11536.t1	A
rna-XM_056787778.1	A	g13263.t1	A
rna-XM_056786926.1	A	g6821.t2	A
rna-XM_056787015.1	A	g14572.t1	A
rna-XM_056787676.1	A	g7614.t1	A
rna-XM_056787899.1	A	g8548.t1	A
rna-XM_056788070.1	A	g3816.t1	A
rna-XM_056787568.1	A	g5709.t1	A
rna-XM_056786991.1	A	g14664.t1	A
rna-XM_056787350.1	A	g14570.t1	A
rna-XM_056787904.1	A	g7407.t1	A
rna-XM_056787836.1	A	g7405.t1	A
rna-XM_056787839.1	A	g14579.t2	A
rna-XM_056787905.1	A	g14581.t1	A
rna-XM_056787025.1	A	g14582.t1	A
rna-XM_056787026.1	A	g14665.t1	A
rna-XM_056787028.1	A	g11658.t1	A
rna-XM_056787031.1	A	g11657.t2	A
rna-XM_056787033.1	A	g11656.t1	A
rna-XM_056787608.1	A	g5928.t1	A
rna-XM_056788157.1	A	g5918.t1	A
rna-XM_056788040.1	A	g7979.t3	A
rna-XM_056788032.1	A	g6673.t1	A
rna-XM_056787621.1	A	g6681.t1	A
rna-XM_056787410.1	A	g12571.t1	A
rna-XM_056787357.1	A	g8238.t1	A
rna-XM_056787552.1	A	g6564.t1	A
rna-XM_056787614.1	A	g5913.t1	A
rna-XM_056787747.1	A	g4959.t1	A
rna-XM_056788075.1	A	g7936.t1	A
rna-XM_056788074.1	A	g7939.t1	A
rna-XM_056787391.1	A	g5770.t1	A
rna-XM_056787389.1	A	g6686.t1	A
rna-XM_056787700.1	A	g6687.t1	A
rna-XM_056787770.1	A	g5732.t1	A
rna-XM_056787771.1	A	g4816.t1	A
rna-XM_056787399.1	A	g5731.t1	A
rna-XM_056787086.1	A	g3167.t1	A
rna-XM_056787096.1	A	g9977.t1	A
rna-XM_056787743.1	A	g3161.t1	A
rna-XM_056787641.1	A	g4403.t1	A
rna-XM_056787738.1	A	g5115.t1	A
rna-XM_056787741.1	A	g13809.t1	A
rna-XM_056787496.1	A	g84.t1	A
rna-XM_056787509.1	A	g86.t1	A
rna-XM_056787502.1	A	g85.t1	A
rna-XM_056787667.1	A	g7786.t1	A
rna-XM_056787668.1	A	g10716.t1	A
rna-XM_056786962.1	A	g10921.t1	A
rna-XM_056786948.1	A	g10922.t2	A
rna-XM_056788001.1	A	g11261.t1	A
rna-XM_056788003.1	A	g5066.t1	A
rna-XM_056788013.1	A	g11971.t1	A
rna-XM_056788015.1	A	g11972.t1	A
rna-XM_056788017.1	A	g11970.t1	A
rna-XM_056788014.1	A	g6904.t1	A
rna-XM_056786921.1	A	g8512.t1	A
rna-XM_056787412.1	A	g4035.t1	A
rna-XM_056787325.1	A	g4037.t1	A
rna-XM_056787328.1	A	g3390.t1	A
rna-XM_056787670.1	A	g4038.t1	A
rna-XM_056788148.1	A	g4180.t2	A
rna-XM_056787911.1	A	g10232.t1	A
rna-XM_056787913.1	A	g13949.t1	A
rna-XM_056787784.1	A	g10231.t1	A
rna-XM_056787314.1	A	g13950.t1	A
rna-XM_056787310.1	A	g1752.t2	A
rna-XM_056787316.1	A	g3759.t2	A
rna-XM_056787781.1	A	g6094.t1	A
rna-XM_056788018.1	A	g3747.t1	A
rna-XM_056787915.1	A	g3746.t1	A
rna-XM_056788025.1	A	g7683.t1	A
rna-XM_056788029.1	A	g7671.t1	A
rna-XM_056788030.1	A	g13692.t1	A
rna-XM_056788027.1	A	g620.t1	A
rna-XM_056787490.1	A	g2345.t1	A
rna-XM_056787493.1	A	g6135.t1	A
rna-XM_056787532.1	A	g13277.t1	A
rna-XM_056788114.1	A	g3284.t1	A
rna-XM_056788115.1	A	g3285.t1	A
rna-XM_056787581.1	A	g13875.t1	A
rna-XM_056787583.1	A	g14244.t1	A
rna-XM_056787917.1	A	g14247.t1	A
rna-XM_056787584.1	A	g11864.t2	A
rna-XM_056787558.1	A	g11848.t1	A
rna-XM_056787801.1	A	g11852.t1	A
rna-XM_056787804.1	A	g11853.t1	A
rna-XM_056787802.1	A	g11856.t1	A
rna-XM_056787803.1	A	g11573.t1	A
rna-XM_056787806.1	A	g83.t1	A
rna-XM_056787809.1	A	g125.t1	A
rna-XM_056787918.1	A	g124.t1	A
rna-XM_056787715.1	A	g13343.t1	A
rna-XM_056788071.1	A	g8888.t2	A
rna-XM_056788072.1	A	g8839.t1	A
rna-XM_056786936.1	A	g11560.t1	A
rna-XM_056786937.1	A	g8893.t1	A
rna-XM_056786938.1	A	g8890.t1	A
rna-XM_056787478.1	A	g13340.t1	A
rna-XM_056786895.1	A	g13335.t1	A
rna-XM_056786896.1	A	g13334.t1	A
rna-XM_056786892.1	A	g13339.t1	A
rna-XM_056786899.1	A	g6656.t1	A
rna-XM_056786901.1	A	g9634.t1	A
rna-XM_056786902.1	A	g6086.t1	A
rna-XM_056786904.1	A	g6087.t1	A
rna-XM_056786905.1	A	g6085.t2	A
rna-XM_056786906.1	A	g6083.t2	A
rna-XM_056786909.1	A	g7464.t1	X
rna-XM_056786911.1	A	g14559.t1	A
rna-XM_056786912.1	A	g14560.t1	A
rna-XM_056787926.1	A	g13571.t2	A
rna-XM_056787935.1	A	g4012.t1	A
rna-XM_056787920.1	A	g11397.t1	A
rna-XM_056787933.1	A	g11402.t1	A
rna-XM_056787928.1	A	g11166.t1	A
rna-XM_056787942.1	A	g6758.t1	A
rna-XM_056787943.1	A	g3779.t1	A
rna-XM_056787936.1	A	g3562.t1	A
rna-XM_056787929.1	A	g13311.t1	A
rna-XM_056788108.1	A	g9324.t1	A
rna-XM_056787766.1	A	g4960.t1	A
rna-XM_056787921.1	A	g5306.t2	A
rna-XM_056787947.1	A	g13316.t1	A
rna-XM_056787959.1	A	g6208.t1	A
rna-XM_056787445.1	A	g14644.t1	A
rna-XM_056786846.1	A	g10436.t1	A
rna-XM_056786847.1	A	g8780.t1	A
rna-XM_056786856.1	A	g3892.t1	A
rna-XM_056788111.1	A	g5939.t1	A
rna-XM_056789001.1	A	g5633.t1	A
rna-XM_056789004.1	A	g12496.t1	A
rna-XM_056788271.1	A	g12499.t1	A
rna-XM_056788765.1	A	g10137.t1	A
rna-XM_056788283.1	A	g10466.t1	A
rna-XM_056788256.1	A	g14816.t2	A
rna-XM_056788268.1	A	g2254.t1	A
rna-XM_056788265.1	A	g10468.t1	A
rna-XM_056788545.1	A	g12388.t1	A
rna-XM_056788358.1	A	g11699.t1	A
rna-XM_056788356.1	A	g5022.t1	A
rna-XM_056788500.1	A	g2281.t1	A
rna-XM_056788767.1	A	g5708.t1	A
rna-XM_056788330.1	A	g4894.t1	A
rna-XM_056788508.1	A	g4896.t1	A
rna-XM_056788768.1	A	g4898.t1	A
rna-XM_056788344.1	A	g4899.t1	A
rna-XM_056788399.1	A	g14160.t1	A
rna-XM_056788403.1	A	g14835.t1	A
rna-XM_056788360.1	A	g14834.t1	A
rna-XM_056788362.1	A	g14157.t2	A
rna-XM_056788389.1	A	g2292.t1	A
rna-XM_056788395.1	A	g9132.t1	A
rna-XM_056788499.1	A	g9127.t1	A
rna-XM_056788589.1	A	g9255.t1	A
rna-XM_056788664.1	A	g8490.t1	A
rna-XM_056788677.1	A	g3813.t1	A
rna-XM_056788678.1	A	g10786.t1	A
rna-XM_056788680.1	A	g10512.t4	A
rna-XM_056788681.1	A	g5922.t1	A
rna-XM_056788299.1	A	g10574.t1	A
rna-XM_056788674.1	A	g5923.t1	A
rna-XM_056788381.1	A	g5925.t1	A
rna-XM_056788297.1	A	g12579.t1	A
rna-XM_056788667.1	A	g5926.t1	A
rna-XM_056788411.1	A	g9435.t1	A
rna-XM_056788869.1	A	g13736.t1	A
rna-XM_056788871.1	A	g8018.t1	A
rna-XM_056788861.1	A	g11843.t1	A
rna-XM_056788872.1	A	g11975.t1	A
rna-XM_056788874.1	A	g11974.t3	A
rna-XM_056788876.1	A	g8930.t1	A
rna-XM_056788873.1	A	g10831.t1	A
rna-XM_056788407.1	A	g10829.t1	A
rna-XM_056788410.1	A	g10830.t1	A
rna-XM_056788675.1	A	g10913.t2	A
rna-XM_056788338.1	A	g11653.t1	A
rna-XM_056788353.1	A	g10628.t1	A
rna-XM_056789000.1	A	g4270.t1	A
rna-XM_056788296.1	A	g792.t1	A
rna-XM_056788328.1	A	g2314.t1	A
rna-XM_056788897.1	A	g6330.t1	A
rna-XM_056788898.1	A	g5921.t1	A
rna-XM_056788899.1	A	g8965.t1	A
rna-XM_056788900.1	A	g8964.t1	A
rna-XM_056788348.1	A	g8963.t1	A
rna-XM_056788350.1	A	g7819.t1	A
rna-XM_056789006.1	A	g2093.t3	A
rna-XM_056789008.1	A	g6039.t1	A
rna-XM_056789009.1	A	g14666.t1	A
rna-XM_056788306.1	A	g5284.t1	A
rna-XM_056788826.1	A	g2098.t1	A
rna-XM_056788824.1	A	g3514.t1	A
rna-XM_056788823.1	A	g13176.t1	A
rna-XM_056788831.1	A	g14685.t1	A
rna-XM_056788830.1	A	g14676.t1	A
rna-XM_056788833.1	A	g12870.t1	A
rna-XM_056788827.1	A	g5271.t2	A
rna-XM_056788303.1	A	g14013.t1	A
rna-XM_056788302.1	A	g14014.t1	A
rna-XM_056788556.1	A	g11924.t1	A
rna-XM_056788725.1	A	g11925.t1	A
rna-XM_056788721.1	A	g14674.t3	A
rna-XM_056788724.1	A	g1877.t1	A
rna-XM_056788726.1	A	g1878.t1	A
rna-XM_056788732.1	A	g5222.t1	A
rna-XM_056788844.1	A	g14672.t1	A
rna-XM_056788854.1	A	g12637.t1	A
rna-XM_056788849.1	A	g11890.t1	A
rna-XM_056788851.1	A	g11891.t1	A
rna-XM_056788856.1	A	g11596.t1	A
rna-XM_056788770.1	A	g12636.t1	A
rna-XM_056788341.1	A	g14146.t1	A
rna-XM_056788340.1	A	g6430.t1	A
rna-XM_056788771.1	A	g14147.t1	A
rna-XM_056788685.1	A	g14149.t1	A
rna-XM_056788370.1	A	g5015.t3	A
rna-XM_056788744.1	A	g5013.t1	A
rna-XM_056788743.1	A	g13533.t1	A
rna-XM_056788735.1	A	g9869.t1	A
rna-XM_056788741.1	A	g14062.t2	A
rna-XM_056788736.1	A	g13036.t1	A
rna-XM_056788745.1	A	g13610.t1	A
rna-XM_056788738.1	A	g6063.t1	A
rna-XM_056788333.1	A	g679.t1	A
rna-XM_056788749.1	A	g13069.t1	A
rna-XM_056788759.1	A	g13068.t1	A
rna-XM_056788694.1	A	g676.t1	A
rna-XM_056788687.1	A	g677.t1	A
rna-XM_056788695.1	A	g678.t2	A
rna-XM_056788704.1	A	g1187.t1	A
rna-XM_056788699.1	A	g1188.t1	A
rna-XM_056788706.1	A	g669.t1	A
rna-XM_056789010.1	A	g668.t1	A
rna-XM_056789012.1	A	g5245.t1	A
rna-XM_056788896.1	A	g2699.t1	A
rna-XM_056788891.1	A	g14725.t2	A
rna-XM_056788895.1	A	g5240.t1	A
rna-XM_056788185.1	A	g14724.t3	A
rna-XM_056788194.1	A	g5228.t1	A
rna-XM_056788858.1	A	g5227.t1	A
rna-XM_056788314.1	A	g14761.t1	A
rna-XM_056788184.1	A	g14760.t1	A
rna-XM_056788183.1	A	g6480.t1	A
rna-XM_056788326.1	A	g14758.t1	A
rna-XM_056788772.1	A	g11743.t2	A
rna-XM_056788773.1	A	g11827.t1	A
rna-XM_056788774.1	A	g11828.t1	A
rna-XM_056788553.1	A	g2291.t2	A
rna-XM_056788913.1	A	g11013.t1	A
rna-XM_056788396.1	A	g7634.t1	A
rna-XM_056788397.1	A	g6883.t1	A
rna-XM_056788327.1	A	g6882.t1	A
rna-XM_056789021.1	A	g14158.t1	A
rna-XM_056789020.1	A	g26.t1	A
rna-XM_056789015.1	A	g14833.t1	A
rna-XM_056789022.1	A	g14687.t1	A
rna-XM_056789013.1	A	g14686.t2	A
rna-XM_056788775.1	A	g14681.t1	A
rna-XM_056788924.1	A	g14679.t1	A
rna-XM_056788937.1	A	g14678.t3	A
rna-XM_056788949.1	A	g14767.t1	A
rna-XM_056788599.1	A	g9162.t1	A
rna-XM_056788596.1	A	g9245.t1	A
rna-XM_056788594.1	A	g9244.t2	A
rna-XM_056788600.1	A	g9246.t1	A
rna-XM_056788601.1	A	g9241.t1	A
rna-XM_056788603.1	A	g9159.t1	A
rna-XM_056788604.1	A	g11744.t1	A
rna-XM_056788608.1	A	g9158.t1	A
rna-XM_056788612.1	A	g13459.t1	A
rna-XM_056788613.1	A	g13049.t2	A
rna-XM_056788615.1	A	g13052.t2	A
rna-XM_056788617.1	A	g2240.t1	A
rna-XM_056788619.1	A	g11661.t1	A
rna-XM_056788621.1	A	g2238.t1	A
rna-XM_056788620.1	A	g5024.t1	A
rna-XM_056788623.1	A	g14415.t1	A
rna-XM_056788626.1	A	g14536.t1	A
rna-XM_056788777.1	A	g14535.t1	A
rna-XM_056788778.1	A	g14521.t3	A
rna-XM_056788627.1	A	g14523.t1	A
rna-XM_056788781.1	A	g14524.t1	A
rna-XM_056788631.1	A	g14525.t1	A
rna-XM_056788634.1	A	g14526.t1	A
rna-XM_056788635.1	A	g14527.t1	A
rna-XM_056788782.1	A	g14531.t1	A
rna-XM_056788637.1	A	g14534.t1	A
rna-XM_056788640.1	A	g14533.t1	A
rna-XM_056788783.1	A	g14532.t1	A
rna-XM_056788638.1	A	g14517.t1	A
rna-XM_056788644.1	A	g5950.t1	A
rna-XM_056788647.1	A	g5951.t1	A
rna-XM_056788646.1	A	g3312.t2	A
rna-XM_056788648.1	A	g3313.t1	A
rna-XM_056788651.1	A	g949.t1	A
rna-XM_056788650.1	A	g7695.t1	A
rna-XM_056788652.1	A	g948.t1	A
rna-XM_056788653.1	A	g6184.t2	A
rna-XM_056788655.1	A	g6660.t1	A
rna-XM_056788785.1	A	g9446.t1	A
rna-XM_056788656.1	A	g1757.t1	A
rna-XM_056788657.1	A	g9440.t2	A
rna-XM_056788787.1	A	g6271.t2	A
rna-XM_056788788.1	A	g6272.t1	A
rna-XM_056788661.1	A	g6273.t1	A
rna-XM_056788660.1	A	g6274.t1	A
rna-XM_056788684.1	A	g6275.t1	A
rna-XM_056788789.1	A	g6280.t1	A
rna-XM_056788792.1	A	g6282.t1	A
rna-XM_056788793.1	A	g6281.t1	A
rna-XM_056788794.1	A	g6290.t1	A
rna-XM_056788795.1	A	g6288.t1	A
rna-XM_056788796.1	A	g6270.t1	A
rna-XM_056788557.1	A	g6269.t2	A
rna-XM_056788662.1	A	g6268.t1	A
rna-XM_056788663.1	A	g6267.t1	A
rna-XM_056788420.1	A	g1131.t1	A
rna-XM_056788423.1	A	g11693.t1	A
rna-XM_056788414.1	A	g12078.t2	A
rna-XM_056788424.1	A	g11690.t1	A
rna-XM_056788425.1	A	g11691.t1	A
rna-XM_056788427.1	A	g909.t1	A
rna-XM_056788433.1	A	g6714.t1	A
rna-XM_056788429.1	A	g6603.t1	A
rna-XM_056788435.1	A	g6713.t1	A
rna-XM_056788437.1	A	g6712.t1	A
