HOG	OG	Gene Tree Parent Clade	A_obtectus	B_siliquastri	B_varius	C_chinensis	C_maculatus	C_maculatusC	D_carinulata	D_sublineata
N0.HOG0011990	OG0011739	-	anno1.g4180.t1			anno1.g10741.t1	g12420.t1_1			
N0.HOG0011991	OG0011740	-	anno1.g4198.t1		anno1.g2949.t1, anno1.g7965.t1					
N0.HOG0011992	OG0011741	-	anno1.g4206.t1	BRAKERILHT00000007816_1	anno1.g5312.t1					
N0.HOG0011993	OG0011742	-	anno1.g4210.t1	BRAKERILHT00000008007_1				anno1.g15.t1		
N0.HOG0011994	OG0011743	-	anno1.g4390.t1		anno1.g5130.t1	anno1.g8522.t2				
N0.HOG0011995	OG0011744	-	anno1.g4394.t1	BRAKERILHT00000006484_1			g13373.t1_1			
N0.HOG0011996	OG0011745	-	anno1.g4463.t1, anno1.g7901.t1, anno1.g8789.t1							
N0.HOG0011997	OG0011746	-	anno1.g7223.t1, anno1.g13905.t1, anno1.g4516.t1							
N0.HOG0011998	OG0011747	-	anno1.g5954.t1, anno1.g7958.t1, anno1.g4519.t1							
N0.HOG0011999	OG0011748	-	anno1.g4640.t1	BRAKERILHT00000007374_1		anno1.g9972.t1				
N0.HOG0012000	OG0011749	-	anno1.g4700.t1	BRAKERILHT00000001073_1		anno1.g1772.t1				
N0.HOG0012001	OG0011750	-	anno1.g4717.t1	BRAKERILHT00000006679_1				anno1.g548.t1		
N0.HOG0012002	OG0011751	-	anno1.g4816.t2, anno1.g9543.t1				g12400.t1_1			
N0.HOG0012003	OG0011752	-	anno1.g4858.t1	BRAKERILHT00000007820_1					rna-XM_057797714.1_1	
N0.HOG0012004	OG0011753	-	anno1.g4871.t1		anno1.g5239.t1			anno1.g222.t1		
N0.HOG0012005	OG0011754	-	anno1.g12239.t1, anno1.g4905.t1, anno1.g13890.t1							
N0.HOG0012006	OG0011755	-	anno1.g12294.t1, anno1.g5096.t1			anno1.g7557.t1				
N0.HOG0012007	OG0011756	-	anno1.g5098.t2		anno1.g5366.t1		g13575.t1_1			
N0.HOG0012008	OG0011757	-	anno1.g12524.t1, anno1.g9035.t1, anno1.g5114.t1							
N0.HOG0012009	OG0011758	-	anno1.g5289.t1	BRAKERILHT00000008445_1					rna-XM_057812816.1_1	
N0.HOG0012010	OG0011759	-	anno1.g10792.t1, anno1.g7975.t1, anno1.g5351.t2							
N0.HOG0012011	OG0011760	-	anno1.g10131.t1, anno1.g13586.t1, anno1.g5361.t1							
N0.HOG0012012	OG0011761	-	anno1.g5486.t1	BRAKERILHT00000008071_1	anno1.g6278.t1					
N0.HOG0012013	OG0011762	-	anno1.g5613.t1	BRAKERILHT00000007397_1						rna-XM_056791372.1_1
N0.HOG0012014	OG0011763	-	anno1.g5637.t1	BRAKERILHT00000005055_1	anno1.g3505.t1					
N0.HOG0012015	OG0011764	-	anno1.g5722.t2		anno1.g6451.t1		g12860.t1_1			
N0.HOG0012016	OG0011765	-	anno1.g5861.t3	BRAKERILHT00000000653_1			g14824.t1_1			
N0.HOG0012017	OG0011766	-	anno1.g6003.t1	BRAKERILHT00000000717_1			g737.t1_1			
N0.HOG0012018	OG0011767	-	anno1.g6145.t1	BRAKERILHT00000000061_1				anno1.g12815.t1		
N0.HOG0012019	OG0011768	-	anno1.g6148.t1, anno1.g6203.t1, anno1.g6149.t1							
N0.HOG0012020	OG0011769	-	anno1.g6187.t1	BRAKERILHT00000001705_1	anno1.g3310.t1					
N0.HOG0012021	OG0011770	-	anno1.g6192.t1, anno1.g8422.t1		anno1.g10924.t1					
N0.HOG0012022	OG0011771	-	anno1.g6263.t1	BRAKERILHT00000001200_1		anno1.g2646.t1				
N0.HOG0012023	OG0011772	-	anno1.g6305.t1		anno1.g2580.t1	anno1.g1749.t1				
N0.HOG0012024	OG0011773	-	anno1.g6364.t1, anno1.g9229.t1	BRAKERILHT00000011576_1						
N0.HOG0012025	OG0011774	-	anno1.g8001.t1, anno1.g6389.t1, anno1.g14672.t1							
N0.HOG0012026	OG0011775	-	anno1.g6481.t1, anno1.g8135.t1, anno1.g14585.t1							
N0.HOG0012027	OG0011776	-	anno1.g6610.t1	BRAKERILHT00000002112_1		anno1.g6543.t1				
N0.HOG0012028	OG0011777	-	anno1.g6717.t1, anno1.g7510.t1					anno1.g12972.t1		
N0.HOG0012029	OG0011778	-	anno1.g6774.t1	BRAKERILHT00000000376_1		anno1.g5073.t1				
N0.HOG0012030	OG0011779	-	anno1.g6797.t1						rna-XM_057807648.1_1	rna-XM_056777922.1_1
N0.HOG0012031	OG0011780	-	anno1.g6890.t1	BRAKERILHT00000017536_1	anno1.g4424.t1					
N0.HOG0012032	OG0011781	-	anno1.g14040.t1, anno1.g6892.t1, anno1.g12727.t1							
N0.HOG0012033	OG0011782	-	anno1.g6944.t1		anno1.g2756.t1, anno1.g5990.t1					
N0.HOG0012034	OG0011783	-	anno1.g6995.t1		anno1.g6121.t1				rna-XM_057804919.1_1	
N0.HOG0012035	OG0011784	-	anno1.g7008.t1, anno1.g14101.t1, anno1.g7739.t1							
N0.HOG0012036	OG0011785	-	anno1.g7011.t1	BRAKERILHT00000000919_1		anno1.g13091.t1				
N0.HOG0012037	OG0011786	-	anno1.g7038.t1, anno1.g14522.t1				g3022.t1_1			
N0.HOG0012038	OG0011787	-	anno1.g7066.t1	BRAKERILHT00000001989_1		anno1.g10513.t1				
N0.HOG0012039	OG0011788	-	anno1.g7073.t1				g4238.t1_1	anno1.g3962.t1		
N0.HOG0012040	OG0011789	-	anno1.g7135.t1		anno1.g7381.t1, anno1.g6365.t1					
N0.HOG0012041	OG0011790	-	anno1.g7204.t1		anno1.g2862.t1, anno1.g4847.t1					
N0.HOG0012042	OG0011791	-	anno1.g7207.t2	BRAKERILHT00000000532_1		anno1.g6599.t1				
N0.HOG0012043	OG0011792	-	anno1.g7271.t1	BRAKERILHT00000001046_1	anno1.g3220.t1					
N0.HOG0012044	OG0011793	-	anno1.g7296.t1	BRAKERILHT00000012384_1		anno1.g6382.t1				
N0.HOG0012045	OG0011794	-	anno1.g7356.t1	BRAKERILHT00000013063_1	anno1.g9651.t1					
N0.HOG0012046	OG0011795	-	anno1.g7513.t2		anno1.g4416.t1, anno1.g5896.t1					
N0.HOG0012047	OG0011796	-	anno1.g7630.t1	BRAKERILHT00000017261_1		anno1.g11889.t1				
N0.HOG0012048	OG0011797	-	anno1.g8007.t1				g12031.t1_1, g12020.t1_1			
N0.HOG0012049	OG0011798	-	anno1.g8051.t1			anno1.g10417.t1, anno1.g867.t1				
N0.HOG0012050	OG0011799	-	anno1.g8054.t1		anno1.g939.t1, anno1.g3081.t1					
N0.HOG0012051	OG0011800	-	anno1.g8085.t1				g12952.t1_1	anno1.g836.t1		
N0.HOG0012052	OG0011801	-	anno1.g8286.t1	BRAKERILHT00000012477_1		anno1.g1084.t1				
N0.HOG0012053	OG0011802	-	anno1.g8396.t1				g4530.t1_1	anno1.g5717.t1		
N0.HOG0012054	OG0011803	-	anno1.g8505.t1		anno1.g9893.t1	anno1.g9998.t1				
N0.HOG0012055	OG0011804	-	anno1.g8640.t2	BRAKERILHT00000013440_1	anno1.g10289.t1					
N0.HOG0012056	OG0011805	-	anno1.g8781.t1		anno1.g7876.t1			anno1.g3045.t2		
N0.HOG0012057	OG0011806	-	anno1.g8866.t1	BRAKERILHT00000016638_1, BRAKERILHT00000015958_1						
N0.HOG0012058	OG0011807	-	anno1.g11300.t1, anno1.g8993.t1, anno1.g11325.t1							
N0.HOG0012059	OG0011808	-	anno1.g9031.t1			anno1.g13197.t1	g5832.t1_1			
N0.HOG0012060	OG0011809	-	anno1.g9040.t1, anno1.g9039.t1	BRAKERILHT00000009487_1						
N0.HOG0012061	OG0011810	-	anno1.g9089.t1	BRAKERILHT00000009320_1		anno1.g7613.t1				
N0.HOG0012062	OG0011811	-	anno1.g9136.t1	BRAKERILHT00000009188_1		anno1.g3033.t1				
N0.HOG0012063	OG0011812	-	anno1.g9149.t1	BRAKERILHT00000009636_1				anno1.g2634.t1		
N0.HOG0012064	OG0011813	-	anno1.g9253.t1	BRAKERILHT00000009152_1			g6569.t1_1			
N0.HOG0012065	OG0011814	-	anno1.g9361.t1	BRAKERILHT00000008643_1	anno1.g8535.t1					
N0.HOG0012066	OG0011815	-	anno1.g9768.t1, anno1.g9769.t1, anno1.g9767.t1							
N0.HOG0012067	OG0011816	-	anno1.g9778.t1, anno1.g14344.t1, anno1.g9771.t1							
N0.HOG0012068	OG0011817	-	anno1.g9880.t1				g6979.t1_1	anno1.g1743.t1		
N0.HOG0012069	OG0011818	-	anno1.g9991.t1				g13718.t1_1	anno1.g7386.t1		
N0.HOG0012070	OG0011819	-	anno1.g10028.t1	BRAKERILHT00000009820_1						rna-XM_056778417.1_1
N0.HOG0012071	OG0011820	-	anno1.g10060.t1		anno1.g9037.t1	anno1.g2765.t1				
N0.HOG0012072	OG0011821	-	anno1.g10093.t2				g6954.t1_1	anno1.g1766.t1		
N0.HOG0012073	OG0011822	-	anno1.g10118.t2	BRAKERILHT00000009600_1				anno1.g1585.t1		
N0.HOG0012074	OG0011823	-	anno1.g10133.t1				g6968.t1_1			rna-XM_056780325.1_1
N0.HOG0012075	OG0011824	-	anno1.g10254.t1	BRAKERILHT00000005241_1	anno1.g4934.t1					
N0.HOG0012076	OG0011825	-	anno1.g10276.t1	BRAKERILHT00000005404_1				anno1.g3236.t1		
N0.HOG0012077	OG0011826	-	anno1.g10484.t1				g9025.t1_1	anno1.g3383.t1		
N0.HOG0012078	OG0011827	-	anno1.g10714.t1		anno1.g8159.t1	anno1.g11957.t1				
N0.HOG0012079	OG0011828	-	anno1.g10909.t1	BRAKERILHT00000002227_1, BRAKERILHT00000006206_1						
N0.HOG0012080	OG0011829	-	anno1.g11007.t1	BRAKERILHT00000006261_1	anno1.g4155.t1					
N0.HOG0012081	OG0011830	-	anno1.g11119.t1	BRAKERILHT00000006054_1				anno1.g4301.t1		
N0.HOG0012082	OG0011831	-	anno1.g11239.t1		anno1.g11819.t1					rna-XM_056786653.1_1
N0.HOG0012083	OG0011832	-	anno1.g11248.t1	BRAKERILHT00000005831_1		anno1.g282.t1				
N0.HOG0012084	OG0011833	-	anno1.g11507.t1, anno1.g11505.t1, anno1.g11500.t1							
N0.HOG0012085	OG0011834	-	anno1.g11528.t1	BRAKERILHT00000006829_1				anno1.g37.t1		
N0.HOG0012086	OG0011835	-	anno1.g11594.t1	BRAKERILHT00000006133_1	anno1.g3668.t1					
N0.HOG0012087	OG0011836	-	anno1.g11616.t1	BRAKERILHT00000005699_1		anno1.g7411.t1				
N0.HOG0012088	OG0011837	-	anno1.g11638.t1				g12541.t1_1	anno1.g4190.t1		
N0.HOG0012089	OG0011838	-	anno1.g11730.t1	BRAKERILHT00000005953_1					rna-XM_057810373.1_1	
N0.HOG0012090	OG0011839	-	anno1.g11867.t1						rna-XM_057801961.1_1	rna-XM_056784052.1_1
N0.HOG0012091	OG0011840	-	anno1.g11871.t1						rna-XM_057799403.1_1	rna-XM_056781294.1_1
N0.HOG0012092	OG0011841	-	anno1.g11915.t1				g4239.t1_1	anno1.g7960.t1		
N0.HOG0012093	OG0011842	-	anno1.g12157.t1	BRAKERILHT00000014358_1				anno1.g7744.t1		
N0.HOG0012094	OG0011843	-	anno1.g12230.t2	BRAKERILHT00000015046_1				anno1.g8182.t1		
N0.HOG0012095	OG0011844	-	anno1.g12421.t1	BRAKERILHT00000015351_1			g14276.t1_1			
N0.HOG0012096	OG0011845	-	anno1.g12448.t1			anno1.g4437.t1	g12245.t1_1			
N0.HOG0012097	OG0011846	-	anno1.g12492.t1	BRAKERILHT00000015557_1	anno1.g947.t1					
N0.HOG0012098	OG0011847	-	anno1.g12534.t1				g9544.t1_1		rna-XM_057797363.1_1	
N0.HOG0012099	OG0011848	-	anno1.g12604.t1	BRAKERILHT00000014785_1	anno1.g1036.t1					
N0.HOG0012100	OG0011849	-	anno1.g12643.t1	BRAKERILHT00000014061_1		anno1.g4834.t1				
N0.HOG0012101	OG0011850	-	anno1.g12644.t1	BRAKERILHT00000015166_1			g5127.t1_1			
N0.HOG0012102	OG0011851	-	anno1.g12723.t1			anno1.g8171.t1, anno1.g1852.t1				
N0.HOG0012103	OG0011852	-	anno1.g12898.t1			anno1.g5559.t1, anno1.g5580.t1				
N0.HOG0012104	OG0011853	-	anno1.g12927.t1			anno1.g2928.t1		anno1.g7342.t1		
N0.HOG0012105	OG0011854	-	anno1.g13281.t1	BRAKERILHT00000015703_1		anno1.g12207.t1				
N0.HOG0012106	OG0011855	-	anno1.g13525.t1	BRAKERILHT00000016711_1		anno1.g10682.t1				
N0.HOG0012107	OG0011856	-	anno1.g14824.t1, anno1.g13623.t1	BRAKERILHT00000011603_1						
N0.HOG0012108	OG0011857	-	anno1.g13683.t1		anno1.g1727.t1	anno1.g6324.t1				
N0.HOG0012109	OG0011858	-	anno1.g13689.t1				g10989.t1_1, g9646.t1_1			
N0.HOG0012110	OG0011859	-	anno1.g13783.t1	BRAKERILHT00000016572_1				anno1.g6445.t1		
N0.HOG0012111	OG0011860	-	anno1.g14003.t1			anno1.g4576.t1	g7572.t1_1			
N0.HOG0012112	OG0011861	-	anno1.g14165.t1	BRAKERILHT00000016741_1, BRAKERILHT00000016333_1						
N0.HOG0012113	OG0011862	-	anno1.g14388.t1, anno1.g14523.t1, anno1.g14387.t1							
N0.HOG0012114	OG0011863	-	anno1.g14507.t1, anno1.g14715.t1, anno1.g14458.t1							
N0.HOG0012115	OG0011864	-	anno1.g14487.t1	BRAKERILHT00000002468_1		anno1.g7779.t1				
N0.HOG0012116	OG0011865	-		BRAKERILHT00000001665_1	anno1.g2457.t1	anno1.g9415.t1				
N0.HOG0012117	OG0011866	-		BRAKERILHT00000001260_1			g1139.t1_1	anno1.g11635.t1		
N0.HOG0012118	OG0011867	-		BRAKERILHT00000000615_1			g862.t1_1	anno1.g11910.t1		
N0.HOG0012119	OG0011868	-		BRAKERILHT00000001384_1		anno1.g7762.t2	g808.t2_1			
N0.HOG0012120	OG0011869	-		BRAKERILHT00000000685_1					rna-XM_057802683.1_1	rna-XM_056789178.1_1
N0.HOG0012121	OG0011870	-		BRAKERILHT00000000565_1	anno1.g2416.t1	anno1.g9825.t1				
N0.HOG0012122	OG0011871	-		BRAKERILHT00000000478_1	anno1.g2400.t1			anno1.g12143.t1		
N0.HOG0012123	OG0011872	-		BRAKERILHT00000001731_1			g2007.t1_1, g2006.t1_1			
N0.HOG0012124	OG0011873	-		BRAKERILHT00000001934_1				anno1.g11392.t1		rna-XM_056786472.1_1
N0.HOG0012125	OG0011874	-		BRAKERILHT00000001290_1			g1376.t1_1	anno1.g11395.t1		
N0.HOG0012126	OG0011875	-		BRAKERILHT00000000771_1			g1257.t1_1	anno1.g11521.t1		
N0.HOG0012127	OG0011876	-		BRAKERILHT00000000793_1, BRAKERILHT00000011916_1		anno1.g9181.t1				
N0.HOG0012128	OG0011877	-		BRAKERILHT00000001986_1		anno1.g13386.t1	g561.t1_1			
N0.HOG0012129	OG0011878	-		BRAKERILHT00000003478_1, BRAKERILHT00000001652_1				anno1.g10062.t1		
N0.HOG0012130	OG0011879	-		BRAKERILHT00000007418_1, BRAKERILHT00000002057_1, BRAKERILHT00000017675_1						
N0.HOG0012131	OG0011880	-		BRAKERILHT00000017965_1, BRAKERILHT00000000876_1, BRAKERILHT00000000668_1						
N0.HOG0012132	OG0011881	-		BRAKERILHT00000010106_1, BRAKERILHT00000002148_1			g9741.t1_1			
N0.HOG0012133	OG0011882	-		BRAKERILHT00000002051_1, BRAKERILHT00000010105_1, BRAKERILHT00000009286_1						
N0.HOG0012134	OG0011883	-		BRAKERILHT00000001589_1, BRAKERILHT00000002424_1	anno1.g9434.t1					
N0.HOG0012135	OG0011884	-		BRAKERILHT00000001968_1, BRAKERILHT00000017898_1, BRAKERILHT00000001335_1						
N0.HOG0012136	OG0011885	-		BRAKERILHT00000000113_1, BRAKERILHT00000003357_1, BRAKERILHT00000002769_1						
N0.HOG0012137	OG0011886	-		BRAKERILHT00000001925_1			g982.t2_1	anno1.g11791.t1		
N0.HOG0012138	OG0011887	-		BRAKERILHT00000001304_1			g981.t1_1	anno1.g11792.t1		
N0.HOG0012139	OG0011888	-		BRAKERILHT00000001929_1		anno1.g2715.t1		anno1.g11793.t1		
N0.HOG0012140	OG0011889	-		BRAKERILHT00000000894_1			g640.t2_1	anno1.g12123.t1		
N0.HOG0012141	OG0011890	-		BRAKERILHT00000001782_1, BRAKERILHT00000005504_1				anno1.g12187.t1		
N0.HOG0012142	OG0011891	-		BRAKERILHT00000001422_1			g3131.t1_1	anno1.g12846.t1		
N0.HOG0012143	OG0011892	-		BRAKERILHT00000017928_1, BRAKERILHT00000016963_1, BRAKERILHT00000000813_1						
N0.HOG0012144	OG0011893	-		BRAKERILHT00000001978_1		anno1.g5177.t1	g12551.t1_1			
N0.HOG0012145	OG0011894	-		BRAKERILHT00000000935_1		anno1.g12455.t1	g12463.t1_1			
N0.HOG0012146	OG0011895	-		BRAKERILHT00000001010_1					rna-XM_057805163.1_1	rna-XM_056787577.1_1
N0.HOG0012147	OG0011896	-		BRAKERILHT00000001254_1	anno1.g2820.t1	anno1.g2454.t1				
N0.HOG0012148	OG0011897	-		BRAKERILHT00000001721_1					rna-XM_057805912.1_1	rna-XM_056774995.1_1
N0.HOG0012149	OG0011898	-		BRAKERILHT00000002408_1		anno1.g5406.t1	g11584.t2_1			
N0.HOG0012150	OG0011899	-		BRAKERILHT00000004043_1			g11620.t1_1	anno1.g10303.t1		
N0.HOG0012151	OG0011900	-		BRAKERILHT00000002597_1		anno1.g4298.t1		anno1.g10307.t1		
N0.HOG0012152	OG0011901	-		BRAKERILHT00000003587_1			g5873.t2_1	anno1.g2861.t2		
N0.HOG0012153	OG0011902	-		BRAKERILHT00000002201_1		anno1.g9463.t1		anno1.g13601.t1		
N0.HOG0012154	OG0011903	-		BRAKERILHT00000002975_1			g11893.t1_1	anno1.g10593.t1		
N0.HOG0012155	OG0011904	-		BRAKERILHT00000002304_1			g11706.t1_1	anno1.g10403.t1		
N0.HOG0012156	OG0011905	-		BRAKERILHT00000002843_1, BRAKERILHT00000003393_1, BRAKERILHT00000004176_1						
N0.HOG0012157	OG0011906	-		BRAKERILHT00000008603_1, BRAKERILHT00000018076_1, BRAKERILHT00000003974_1						
N0.HOG0012158	OG0011907	-		BRAKERILHT00000003854_1		anno1.g8295.t1		anno1.g10082.t1		
N0.HOG0012159	OG0011908	-		BRAKERILHT00000002584_1			g11747.t1_1	anno1.g10445.t1		
N0.HOG0012160	OG0011909	-		BRAKERILHT00000002997_1		anno1.g13500.t1		anno1.g10239.t1		
N0.HOG0012161	OG0011910	-		BRAKERILHT00000004315_1	anno1.g6698.t1	anno1.g13503.t1				
N0.HOG0012162	OG0011911	-		BRAKERILHT00000003588_1		anno1.g12684.t1	g10944.t1_1			
N0.HOG0012163	OG0011912	-		BRAKERILHT00000003395_1, BRAKERILHT00000013302_1				anno1.g5838.t1		
N0.HOG0012164	OG0011913	-		BRAKERILHT00000003212_1	anno1.g6770.t2			anno1.g9904.t1		
N0.HOG0012165	OG0011914	-		BRAKERILHT00000003888_1					rna-XM_057803388.1_1	rna-XM_056784827.1_1
N0.HOG0012166	OG0011915	-		BRAKERILHT00000002254_1, BRAKERILHT00000014249_1, BRAKERILHT00000015086_1						
N0.HOG0012167	OG0011916	-		BRAKERILHT00000011942_1, BRAKERILHT00000002950_1		anno1.g6046.t1				
N0.HOG0012168	OG0011917	-		BRAKERILHT00000004375_1			g12112.t1_1	anno1.g10834.t1		
N0.HOG0012169	OG0011918	-		BRAKERILHT00000003224_1					rna-XM_057806764.1_1	rna-XM_056786155.1_1
N0.HOG0012170	OG0011919	-		BRAKERILHT00000003737_1		anno1.g10800.t1		anno1.g5652.t1		
N0.HOG0012171	OG0011920	-		BRAKERILHT00000003448_1			g11417.t1_1	anno1.g10157.t1		
N0.HOG0012172	OG0011921	-		BRAKERILHT00000002953_1	anno1.g6597.t1		g11425.t1_1			
N0.HOG0012173	OG0011922	-		BRAKERILHT00000005790_1			g12512.t1_1	anno1.g4205.t1		
N0.HOG0012174	OG0011923	-		BRAKERILHT00000004696_1			g12542.t1_1, g12508.t1_1			
N0.HOG0012175	OG0011924	-		BRAKERILHT00000005968_1					rna-XM_057809455.1_1	rna-XM_056777183.1_1
N0.HOG0012176	OG0011925	-		BRAKERILHT00000004609_1	anno1.g5015.t1	anno1.g7989.t1				
N0.HOG0012177	OG0011926	-		BRAKERILHT00000004857_1			g7169.t1_1	anno1.g3121.t1		
N0.HOG0012178	OG0011927	-		BRAKERILHT00000006391_1			g9033.t1_1	anno1.g3375.t1		
N0.HOG0012179	OG0011928	-		BRAKERILHT00000005820_1			g9143.t1_1	anno1.g3243.t1		
N0.HOG0012180	OG0011929	-		BRAKERILHT00000005773_1					rna-XM_057801399.1_1	rna-XM_056783786.1_1
N0.HOG0012181	OG0011930	-		BRAKERILHT00000005183_1					rna-XM_057800840.1_1	rna-XM_056783009.1_1
N0.HOG0012182	OG0011931	-		BRAKERILHT00000013470_1, BRAKERILHT00000006262_1		anno1.g12753.t1				
N0.HOG0012183	OG0011932	-		BRAKERILHT00000008261_1, BRAKERILHT00000017673_1, BRAKERILHT00000005518_1						
N0.HOG0012184	OG0011933	-		BRAKERILHT00000010079_1, BRAKERILHT00000005419_1, BRAKERILHT00000013589_1						
N0.HOG0012185	OG0011934	-		BRAKERILHT00000004558_1, BRAKERILHT00000004467_1, BRAKERILHT00000010207_1						
N0.HOG0012186	OG0011935	-		BRAKERILHT00000004726_1					rna-XM_057809941.1_1	rna-XM_056776376.1_1
N0.HOG0012187	OG0011936	-		BRAKERILHT00000005866_1				anno1.g3846.t1	rna-XM_057809690.1_1	
N0.HOG0012188	OG0011937	-		BRAKERILHT00000005068_1					rna-XM_057796038.1_1	rna-XM_056789042.1_1
N0.HOG0012189	OG0011938	-		BRAKERILHT00000006193_1	anno1.g3449.t1			anno1.g4782.t1		
N0.HOG0012190	OG0011939	-		BRAKERILHT00000004732_1					rna-XM_057806753.1_1	rna-XM_056786541.1_1
N0.HOG0012191	OG0011940	-		BRAKERILHT00000013214_1, BRAKERILHT00000005914_1				anno1.g3399.t1		
N0.HOG0012192	OG0011941	-		BRAKERILHT00000004737_1					rna-XM_057800604.1_1	rna-XM_056782529.1_1
N0.HOG0012193	OG0011942	-		BRAKERILHT00000006207_1		anno1.g10197.t1, anno1.g11560.t1				
N0.HOG0012194	OG0011943	-		BRAKERILHT00000006405_1	anno1.g3717.t1	anno1.g10061.t1				
N0.HOG0012195	OG0011944	-		BRAKERILHT00000004624_1	anno1.g3641.t1		g7846.t1_1			
N0.HOG0012196	OG0011945	-		BRAKERILHT00000006809_1					rna-XM_057805043.1_1	rna-XM_056789067.1_1
N0.HOG0012197	OG0011946	-		BRAKERILHT00000008126_1	anno1.g6427.t1	anno1.g12860.t1				
N0.HOG0012198	OG0011947	-		BRAKERILHT00000006490_1			g13631.t1_1	anno1.g1458.t1		
N0.HOG0012199	OG0011948	-		BRAKERILHT00000007487_1			g12583.t1_1	anno1.g6575.t1		
N0.HOG0012200	OG0011949	-		BRAKERILHT00000007258_1					rna-XM_057816354.1_1	rna-XM_056789025.1_1
N0.HOG0012201	OG0011950	-		BRAKERILHT00000017149_1, BRAKERILHT00000007337_1	anno1.g2952.t1					
N0.HOG0012202	OG0011951	-		BRAKERILHT00000008278_1					rna-XM_057798788.1_1, rna-XM_057815211.1_1	
N0.HOG0012203	OG0011952	-		BRAKERILHT00000007855_1, BRAKERILHT00000006645_1	anno1.g5724.t1					
N0.HOG0012204	OG0011953	-		BRAKERILHT00000006866_1					rna-XM_057802107.1_1	rna-XM_056784618.1_1
N0.HOG0012205	OG0011954	-		BRAKERILHT00000008045_1		anno1.g5896.t1		anno1.g616.t1		
N0.HOG0012206	OG0011955	-		BRAKERILHT00000006865_1					rna-XM_057802571.1_1	rna-XM_056785568.1_1
N0.HOG0012207	OG0011956	-		BRAKERILHT00000006762_1					rna-XM_057805436.1_1	rna-XM_056774375.1_1
N0.HOG0012208	OG0011957	-		BRAKERILHT00000007276_1					rna-XM_057812359.1_1	rna-XM_056785549.1_1
N0.HOG0012209	OG0011958	-		BRAKERILHT00000007313_1					rna-XM_057799778.1_1	rna-XM_056782127.1_1
N0.HOG0012210	OG0011959	-		BRAKERILHT00000007475_1					rna-XM_057808794.1_1	rna-XM_056777824.1_1
N0.HOG0012211	OG0011960	-		BRAKERILHT00000008306_1					rna-XM_057816247.1_1	rna-XM_056775528.1_1
N0.HOG0012212	OG0011961	-		BRAKERILHT00000006889_1		anno1.g13644.t1		anno1.g14.t1		
N0.HOG0012213	OG0011962	-		BRAKERILHT00000007404_1			g5077.t1_1	anno1.g6.t1		
N0.HOG0012214	OG0011963	-		BRAKERILHT00000007894_1			g12433.t1_1	anno1.g425.t1		
N0.HOG0012215	OG0011964	-		BRAKERILHT00000007316_1	anno1.g5171.t1	anno1.g4230.t1				
N0.HOG0012216	OG0011965	-		BRAKERILHT00000008270_1	anno1.g5228.t1	anno1.g9975.t1				
N0.HOG0012217	OG0011966	-		BRAKERILHT00000006918_1		anno1.g9979.t1	g13528.t1_1			
N0.HOG0012218	OG0011967	-		BRAKERILHT00000007521_1			g13496.t1_1	anno1.g246.t1		
N0.HOG0012219	OG0011968	-		BRAKERILHT00000007807_1					rna-XM_057798813.1_1	rna-XM_056780644.1_1
N0.HOG0012220	OG0011969	-		BRAKERILHT00000006540_1					rna-XM_057799434.1_1	rna-XM_056780826.1_1
N0.HOG0012221	OG0011970	-		BRAKERILHT00000009114_1	anno1.g8156.t1					rna-XM_056778486.1_1
N0.HOG0012222	OG0011971	-		BRAKERILHT00000015584_1, BRAKERILHT00000008672_1, BRAKERILHT00000012656_1						
N0.HOG0012223	OG0011972	-		BRAKERILHT00000008566_1			g7621.t2_1, g7620.t1_1			
N0.HOG0012224	OG0011973	-		BRAKERILHT00000009549_1				anno1.g3000.t1	rna-XM_057802586.1_1	
N0.HOG0012225	OG0011974	-		BRAKERILHT00000010129_1		anno1.g9212.t1, anno1.g7605.t1				
N0.HOG0012226	OG0011975	-		BRAKERILHT00000008681_1					rna-XM_057795070.1_1	rna-XM_056792983.1_1
N0.HOG0012227	OG0011976	-		BRAKERILHT00000010102_1	anno1.g8893.t1		g6734.t1_1			
N0.HOG0012228	OG0011977	-		BRAKERILHT00000009171_1					rna-XM_057810571.1_1	rna-XM_056788436.1_1
N0.HOG0012229	OG0011978	-		BRAKERILHT00000009743_1			g6861.t1_1			rna-XM_056789251.1_1
N0.HOG0012230	OG0011979	-		BRAKERILHT00000009113_1			g7037.t1_1	anno1.g1689.t1		
N0.HOG0012231	OG0011980	-		BRAKERILHT00000009803_1			g7020.t1_1	anno1.g1704.t1		
N0.HOG0012232	OG0011981	-		BRAKERILHT00000010009_1		anno1.g3863.t1	g7014.t1_1			
N0.HOG0012233	OG0011982	-		BRAKERILHT00000009134_1, BRAKERILHT00000008645_1, BRAKERILHT00000009244_1						
N0.HOG0012234	OG0011983	-		BRAKERILHT00000017442_1, BRAKERILHT00000013248_1, BRAKERILHT00000008614_1						
N0.HOG0012235	OG0011984	-		BRAKERILHT00000009209_1	anno1.g8659.t1			anno1.g2376.t1		
N0.HOG0012236	OG0011985	-		BRAKERILHT00000010374_1			g6385.t1_1	anno1.g2211.t1		
N0.HOG0012237	OG0011986	-		BRAKERILHT00000009040_1			g6398.t1_1	anno1.g2199.t1		
N0.HOG0012238	OG0011987	-		BRAKERILHT00000008669_1		anno1.g7801.t1	g6436.t1_1			
N0.HOG0012239	OG0011988	-		BRAKERILHT00000009983_1			g6461.t1_1		rna-XM_057813838.1_1	
